possibly_sensitive,source,entities/urls/0/start,entities/urls/0/end,entities/urls/0/url,entities/urls/0/expanded_url,entities/urls/0/display_url,entities/annotations/0/start,entities/annotations/0/end,entities/annotations/0/probability,entities/annotations/0/type,entities/annotations/0/normalized_text,entities/annotations/1/start,entities/annotations/1/end,entities/annotations/1/probability,entities/annotations/1/type,entities/annotations/1/normalized_text,entities/annotations/2/start,entities/annotations/2/end,entities/annotations/2/probability,entities/annotations/2/type,entities/annotations/2/normalized_text,conversation_id,created_at,text,geo/place_id,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,author_id,reply_settings,lang,context_annotations/0/domain/id,context_annotations/0/domain/name,context_annotations/0/domain/description,context_annotations/0/entity/id,context_annotations/0/entity/name,context_annotations/0/entity/description,context_annotations/1/domain/id,context_annotations/1/domain/name,context_annotations/1/domain/description,context_annotations/1/entity/id,context_annotations/1/entity/name,id,attachments/media_keys/0,entities/annotations/3/start,entities/annotations/3/end,entities/annotations/3/probability,entities/annotations/3/type,entities/annotations/3/normalized_text,context_annotations/2/domain/id,context_annotations/2/domain/name,context_annotations/2/domain/description,context_annotations/2/entity/id,context_annotations/2/entity/name,referenced_tweets/0/type,referenced_tweets/0/id,entities/mentions/0/start,entities/mentions/0/end,entities/mentions/0/username,in_reply_to_user_id,entities/hashtags/0/start,entities/hashtags/0/end,entities/hashtags/0/tag,context_annotations/1/entity/description,context_annotations/2/entity/description,entities/hashtags/1/start,entities/hashtags/1/end,entities/hashtags/1/tag,entities/hashtags/2/start,entities/hashtags/2/end,entities/hashtags/2/tag,entities/mentions/1/start,entities/mentions/1/end,entities/mentions/1/username,entities/mentions/2/start,entities/mentions/2/end,entities/mentions/2/username,entities/mentions/3/start,entities/mentions/3/end,entities/mentions/3/username,entities/urls/1/start,entities/urls/1/end,entities/urls/1/url,entities/urls/1/expanded_url,entities/urls/1/display_url,entities/urls/2/start,entities/urls/2/end,entities/urls/2/url,entities/urls/2/expanded_url,entities/urls/2/display_url,context_annotations/3/domain/id,context_annotations/3/domain/name,context_annotations/3/domain/description,context_annotations/3/entity/id,context_annotations/3/entity/name,context_annotations/3/entity/description,context_annotations/4/domain/id,context_annotations/4/domain/name,context_annotations/4/domain/description,context_annotations/4/entity/id,context_annotations/4/entity/name,context_annotations/4/entity/description,attachments/media_keys/1,attachments/media_keys/2,entities/hashtags/3/start,entities/hashtags/3/end,entities/hashtags/3/tag,entities/hashtags/4/start,entities/hashtags/4/end,entities/hashtags/4/tag,context_annotations/5/domain/id,context_annotations/5/domain/name,context_annotations/5/domain/description,context_annotations/5/entity/id,context_annotations/5/entity/name,context_annotations/5/entity/description,entities/hashtags/5/start,entities/hashtags/5/end,entities/hashtags/5/tag,entities/urls/0/images/0/url,entities/urls/0/images/0/width,entities/urls/0/images/0/height,entities/urls/0/images/1/url,entities/urls/0/images/1/width,entities/urls/0/images/1/height,entities/urls/0/status,entities/urls/0/title,entities/urls/0/description,entities/urls/0/unwound_url,entities/mentions/4/start,entities/mentions/4/end,entities/mentions/4/username,entities/mentions/5/start,entities/mentions/5/end,entities/mentions/5/username,entities/mentions/6/start,entities/mentions/6/end,entities/mentions/6/username,entities/mentions/7/start,entities/mentions/7/end,entities/mentions/7/username,entities/mentions/8/start,entities/mentions/8/end,entities/mentions/8/username,entities/mentions/9/start,entities/mentions/9/end,entities/mentions/9/username,entities/mentions/10/start,entities/mentions/10/end,entities/mentions/10/username,entities/annotations/4/start,entities/annotations/4/end,entities/annotations/4/probability,entities/annotations/4/type,entities/annotations/4/normalized_text
True,Twitter for Android,263,286,https://t.co/R5ct1WwQyb,https://twitter.com/Mezacam/status/1379930226986221570/photo/1,pic.twitter.com/R5ct1WwQyb,,,,,,,,,,,,,,,,1379930226986221570,2021-04-07T22:52:58+00:00,"La cuarentena sin planes de vacunación solo sirve al régimen como control social para quedarse en el poder, nos quieren en casa con hambre o muertos por el #COVID-19, necesitamos las vacunas para salvar al pueblo del sufrimiento y la muerte. #GuáricoExijeVacunas https://t.co/R5ct1WwQyb",00c357790d337a52,0,0,0,False,69387035,everyone,es,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,,,,,,,1379930226986221570,31379930224419344387,,,,,,,,,,,,,,,,,156,162,COVID,,,242,262,GuáricoExijeVacunas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,Twitter for Android,147,170,https://t.co/Cwes9Gzs5T,https://twitter.com/Mezacam/status/1379926808905277446/photo/1,pic.twitter.com/Cwes9Gzs5T,,,,,,,,,,,,,,,,1379926808905277446,2021-04-07T22:39:23+00:00,"Guariqueños exigimos la entrada de las vacunas y el plan de vacunación para todos que nos salvaría de la muerte por #COVID-19
#GuáricoExigeVacunas https://t.co/Cwes9Gzs5T",00c357790d337a52,3,0,3,True,69387035,everyone,es,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,,,,,,,1379926808905277446,31379926800734822405,,,,,,,,,,,,,,,,,116,122,COVID,,,126,146,GuáricoExigeVacunas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,Twitter for Android,147,170,https://t.co/3s8MRz95Fp,https://twitter.com/loydanohemi/status/1379920558574477314/photo/1,pic.twitter.com/3s8MRz95Fp,,,,,,,,,,,,,,,,1379920558574477314,2021-04-07T22:14:33+00:00,"Guariqueños exigimos la entrada de las vacunas y el plan de vacunación para todos que nos salvaría de la muerte por #COVID-19
#GuáricoExigeVacunas https://t.co/3s8MRz95Fp",00cfdfc429c27ec3,5,0,4,False,387835408,everyone,es,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,,,,,,,1379920558574477314,31379920554497613825,,,,,,,,,,,,,,,,,116,122,COVID,,,126,146,GuáricoExigeVacunas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,Twitter for Android,147,170,https://t.co/vw6lTgewKJ,https://twitter.com/VPA_ROSCIO/status/1379920496117096448/photo/1,pic.twitter.com/vw6lTgewKJ,,,,,,,,,,,,,,,,1379920496117096448,2021-04-07T22:14:18+00:00,"Guariqueños exigimos la entrada de las vacunas y el plan de vacunación para todos que nos salvaría de la muerte por #COVID-19
#GuáricoExigeVacunas https://t.co/vw6lTgewKJ",00cfdfc429c27ec3,4,0,4,False,1094707373833416706,everyone,es,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,,,,,,,1379920496117096448,31379920492698669056,,,,,,,,,,,,,,,,,116,122,COVID,,,126,146,GuáricoExigeVacunas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,Twitter for Android,263,286,https://t.co/MSkxnAQcE1,https://twitter.com/VPA_ROSCIO/status/1379920361949691904/photo/1,pic.twitter.com/MSkxnAQcE1,,,,,,,,,,,,,,,,1379920361949691904,2021-04-07T22:13:46+00:00,"La cuarentena sin planes de vacunación solo sirve al régimen como control social para quedarse en el poder, nos quieren en casa con hambre o muertos por el #COVID-19, necesitamos las vacunas para salvar al pueblo del sufrimiento y la muerte. #GuáricoExijeVacunas https://t.co/MSkxnAQcE1",00cfdfc429c27ec3,1,0,1,False,1094707373833416706,everyone,es,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,,,,,,,1379920361949691904,31379920359852535808,,,,,,,,,,,,,,,,,156,162,COVID,,,242,262,GuáricoExijeVacunas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,Twitter for Android,263,286,https://t.co/CGl7ffZ0GD,https://twitter.com/loydanohemi/status/1379920239576686594/photo/1,pic.twitter.com/CGl7ffZ0GD,,,,,,,,,,,,,,,,1379920239576686594,2021-04-07T22:13:17+00:00,"La cuarentena sin planes de vacunación solo sirve al régimen como control social para quedarse en el poder, nos quieren en casa con hambre o muertos por el #COVID-19, necesitamos las vacunas para salvar al pueblo del sufrimiento y la muerte. #GuáricoExijeVacunas https://t.co/CGl7ffZ0GD",00cfdfc429c27ec3,3,0,3,False,387835408,everyone,es,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,,,,,,,1379920239576686594,31379920231217442816,,,,,,,,,,,,,,,,,156,162,COVID,,,242,262,GuáricoExijeVacunas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,Twitter for Android,263,286,https://t.co/xS9iLMG1KK,https://twitter.com/VPACalabozo/status/1379919742098628609/photo/1,pic.twitter.com/xS9iLMG1KK,,,,,,,,,,,,,,,,1379919742098628609,2021-04-07T22:11:18+00:00,"La cuarentena sin planes de vacunación solo sirve al régimen como control social para quedarse en el poder, nos quieren en casa con hambre o muertos por el #COVID-19, necesitamos las vacunas para salvar al pueblo del sufrimiento y la muerte. #GuáricoExijeVacunas https://t.co/xS9iLMG1KK",07d9e11c66888000,1,0,0,False,1177771409919107072,everyone,es,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,,,,,,,1379919742098628609,31379919712247816200,,,,,,,,,,,,,,,,,156,162,COVID,,,242,262,GuáricoExijeVacunas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,Twitter for Android,147,170,https://t.co/BmTrYh8IyE,https://twitter.com/Mezacam/status/1379918926906294277/photo/1,pic.twitter.com/BmTrYh8IyE,,,,,,,,,,,,,,,,1379918926906294277,2021-04-07T22:08:04+00:00,"Guariqueños exigimos la entrada de las vacunas y el plan de vacunación para todos que nos salvaría de la muerte por #COVID-19
#GuáricoExigeVacunas https://t.co/BmTrYh8IyE",00c357790d337a52,3,0,4,False,69387035,everyone,es,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,,,,,,,1379918926906294277,31379918924259659788,,,,,,,,,,,,,,,,,116,122,COVID,,,126,146,GuáricoExigeVacunas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,Twitter for Android,263,286,https://t.co/SODHPi9o2M,https://twitter.com/Mezacam/status/1379918701554757634/photo/1,pic.twitter.com/SODHPi9o2M,,,,,,,,,,,,,,,,1379918701554757634,2021-04-07T22:07:10+00:00,"La cuarentena sin planes de vacunación solo sirve al régimen como control social para quedarse en el poder, nos quieren en casa con hambre o muertos por el #COVID-19, necesitamos las vacunas para salvar al pueblo del sufrimiento y la muerte. #GuáricoExijeVacunas https://t.co/SODHPi9o2M",00c357790d337a52,8,0,9,False,69387035,everyone,es,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,,,,,,,1379918701554757634,31379918698610368517,,,,,,,,,,,,,,,,,156,162,COVID,,,242,262,GuáricoExijeVacunas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,Twitter for Android,263,286,https://t.co/OrHGWmnBuz,https://twitter.com/Vpzaraza1/status/1379889204537266179/photo/1,pic.twitter.com/OrHGWmnBuz,,,,,,,,,,,,,,,,1379889204537266179,2021-04-07T20:09:58+00:00,"La cuarentena sin planes de vacunación solo sirve al régimen como control social para quedarse en el poder, nos quieren en casa con hambre o muertos por el #COVID-19, necesitamos las vacunas para salvar al pueblo del sufrimiento y la muerte. #GuáricoExijeVacunas https://t.co/OrHGWmnBuz",0152c0f36270f8b1,0,0,0,False,702022042531581952,everyone,es,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,,,,,,,1379889204537266179,31379889202070966276,,,,,,,,,,,,,,,,,156,162,COVID,,,242,262,GuáricoExijeVacunas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
