entities/mentions/0/start,entities/mentions/0/end,entities/mentions/0/username,entities/mentions/1/start,entities/mentions/1/end,entities/mentions/1/username,entities/annotations/0/start,entities/annotations/0/end,entities/annotations/0/probability,entities/annotations/0/type,entities/annotations/0/normalized_text,entities/annotations/1/start,entities/annotations/1/end,entities/annotations/1/probability,entities/annotations/1/type,entities/annotations/1/normalized_text,entities/annotations/2/start,entities/annotations/2/end,entities/annotations/2/probability,entities/annotations/2/type,entities/annotations/2/normalized_text,entities/hashtags/0/start,entities/hashtags/0/end,entities/hashtags/0/tag,entities/hashtags/1/start,entities/hashtags/1/end,entities/hashtags/1/tag,entities/urls/0/start,entities/urls/0/end,entities/urls/0/url,entities/urls/0/expanded_url,entities/urls/0/display_url,conversation_id,reply_settings,context_annotations/0/domain/id,context_annotations/0/domain/name,context_annotations/0/domain/description,context_annotations/0/entity/id,context_annotations/0/entity/name,context_annotations/0/entity/description,context_annotations/1/domain/id,context_annotations/1/domain/name,context_annotations/1/domain/description,context_annotations/1/entity/id,context_annotations/1/entity/name,context_annotations/1/entity/description,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,id,source,author_id,possibly_sensitive,attachments/media_keys/0,created_at,lang,text,geo/place_id,referenced_tweets/0/type,referenced_tweets/0/id,entities/annotations/3/start,entities/annotations/3/end,entities/annotations/3/probability,entities/annotations/3/type,entities/annotations/3/normalized_text,entities/annotations/4/start,entities/annotations/4/end,entities/annotations/4/probability,entities/annotations/4/type,entities/annotations/4/normalized_text,in_reply_to_user_id,entities/urls/1/start,entities/urls/1/end,entities/urls/1/url,entities/urls/1/expanded_url,entities/urls/1/display_url,attachments/media_keys/1,entities/hashtags/2/start,entities/hashtags/2/end,entities/hashtags/2/tag,entities/mentions/2/start,entities/mentions/2/end,entities/mentions/2/username,entities/mentions/3/start,entities/mentions/3/end,entities/mentions/3/username,entities/urls/0/images/0/url,entities/urls/0/images/0/width,entities/urls/0/images/0/height,entities/urls/0/images/1/url,entities/urls/0/images/1/width,entities/urls/0/images/1/height,entities/urls/0/status,entities/urls/0/title,entities/urls/0/description,entities/urls/0/unwound_url,geo/coordinates/type,geo/coordinates/coordinates/0,geo/coordinates/coordinates/1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1382515870807756812,everyone,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,,,,,,,,1,True,3,False,1382517714313428995,Twitter for Android,81227712,False,,2021-04-15T02:14:43+00:00,es,Hasta ayer habían 265 pacientes recluidos en la unidad de cuidados intensivos (UCI) sólo a causa de la covid. A ese número debemos añadirle los pacientes que por otras condiciones clínicas y diagnósticos terminan en esa área.,01c93e351e3122fb,replied_to,1382515870807756812,,,,,,,,,,,81227712,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,55,FrankVillafane,,,,89,105,0.8747,Place,Hospital Carabobo,160,178,0.3649,Place,Cuidados Intensivos,257,275,0.7732,Place,Naguanagua Carabobo,,,,,,,,,,,,1381741525550391299,everyone,,,,,,,,,,,,,25,False,7,False,1381741525550391299,Twitter for Android,134597815,False,,2021-04-12T22:50:25+00:00,es,"Servicio público urgente, para paciente @frankvillafane se encuentra hospitalizado en el Hospital Carabobo y requiere con urgencia ser traslado a una Unidad de Cuidados Intensivos y el siguiente medicamento, pedimos apoyo a la sociedad y a las autoridades. Naguanagua Carabobo.",012af435641420c7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,135,158,https://t.co/lOsCFMhvgr,https://twitter.com/NanoDuarteF/status/1381636749496086528,twitter.com/NanoDuarteF/st…,1381663936777482241,everyone,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,,,,,,,,0,True,0,False,1381663936777482241,Twitter for Android,2603716491,False,,2021-04-12T17:42:07+00:00,es,"Pero en cualquier país del mundo hay infraestructura adecuada, ucis, camas con respiradores y personal capacitado esa es la diferencia https://t.co/lOsCFMhvgr",00fb14e31bcff23d,quoted,1381636749496086528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8,LDeLION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1376820840797470727,everyone,,,,,,,,,,,,,0,False,0,False,1376827143993372673,Twitter for Android,287761476,False,,2021-03-30T09:22:25+00:00,es,@LDeLION Allí no se hace terapia se cuida. la Unidad de cuidados Intensivos no deja de ser la misma,00412d3d6cde22cc,replied_to,1376820840797470727,,,,,,,,,,,231371935,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,108,114,0.9861,Place,Caracas,,,,,,,,,,,,,,,,,,,,,,1374823726101987332,everyone,,,,,,,,,,,,,1,False,14,False,1374823726101987332,Twitter for iPhone,244638695,False,,2021-03-24T20:41:33+00:00,es,"¡Qué dolor ver a tantas personas contagiadas en este momento! Nos toca cuidarnos mucho, todos hospitales de Caracas están colapsados y sin UCIs.",00ec4c32070f5076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12,fisico_luis,13,29,MildredAmorett1,,,,,,,,,,,,,,,,,,,,,,,,,,,1374073514383265799,everyone,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,,,,,,,,0,True,0,False,1374468666369011721,Twitter for Android,268869309,False,,2021-03-23T21:10:41+00:00,es,"@fisico_luis @MildredAmorett1 @lord2bros @juliocastrom Los antibióticos no los indican para el virus, sino para la neumonía que se desarrolla si se le deja llegar a los pulmones. Por éso las UCIs están colapsadas y no alcanzan los respiradores. La mayoría de fallecidos son los que precisan intubación por insuficiencia respiratoria",013c4ab452ad50e9,replied_to,1374467803013554184,,,,,,,,,,,268869309,,,,,,,,,,30,40,lord2bros,41,54,juliocastrom,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,250,273,https://t.co/0anA5L1jBk,https://twitter.com/ThirdErnie/status/1371192611151691776,twitter.com/ThirdErnie/sta…,1371221668098678784,everyone,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,,,,,,,,10,True,12,False,1371221668098678784,Twitter for Android,81227712,False,,2021-03-14T22:08:16+00:00,es,"Quien así lo desee lo puedo pasear por las salas covid-19, o la unidad de cuidados intensivos del Hospital General Guatire Guarenas Dr. Eugenio Pérez D' Bellard, sin la mascarilla y ningún tipo de protección, a ver si es mentira lo de la enfermedad. https://t.co/0anA5L1jBk",004ea55b013fa89f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,192,HectoRodriguez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1363832641724817409,everyone,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,,,,,,,,0,True,1,False,1363834832556609538,Twitter for Android,81227712,False,,2021-02-22T12:55:37+00:00,es,"El hospital guatireño cuenta con salas de covid para los pacientes positivos así como una unidad de cuidados intensivos, la cual fue inaugurada en el año 2020 por el gobernador @HectoRodriguez.",0058b0cb7e695890,replied_to,1363833697087201281,,,,,,,,,,,81227712,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,134,jorgerpsuv,,,,200,238,0.192,Other,Unidad de Cuidados Intensivos del HUAPA,,,,,,,,,,,16,22,Sucre,104,121,AsambleaNacional,,,,,,1358923412941533185,everyone,,,,,,,,,,,,,1,True,1,False,1358923439248130050,Twitter for iPhone,3604636577,False,,2021-02-08T23:39:30+00:00,es,"♦️ Diputados de #Sucre se encontrarán desplegados con el Pueblo para dar su aporte de lo vivido ante la #AsambleaNacional. @jorgerpsuv 

♦️ Informó que ya iniciaron los trabajos de recuperación de la Unidad de Cuidados Intensivos del HUAPA, que contará con 6 nuevas camas.",012a9ff7509f33b5,replied_to,1358923417173565445,,,,,,,,,,,3604636577,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,219,LaPrensaTachira,,,,43,59,0.9923,Person,Carlos Colmenares,144,176,0.3537,Place,Hospital Central de San Cristóbal,,,,,,0,5,3Ene,,,,220,243,https://t.co/6YsIYU9LrN,https://www.instagram.com/p/CK2U1cvMbII/?igshid=lze59i8hlec2,instagram.com/p/CK2U1cvMbII/…,1357111757798592514,everyone,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,,,,,,,,1,False,0,False,1357111757798592514,Instagram,1105601070192119809,False,,2021-02-03T23:40:31+00:00,es,"#3Ene | Falleció el neurocirujano infantil Carlos Colmenares. Se encontraba en la unidad de cuidados intensivos para pacientes con covid-19 del Hospital Central de San Cristóbal, estado Táchira.  

🗞️📸: @LaPrensaTachira https://t.co/6YsIYU9LrN",006fa5d223223cfc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbs.twimg.com/news_img/1357111760151584777/0p0JpZu2?format=jpg&name=orig,500,500,https://pbs.twimg.com/news_img/1357111760151584777/0p0JpZu2?format=jpg&name=150x150,150,150,200,SanJoaquín Escucha on Instagram: “#3Ene Falleció el neurocirujano infantil Carlos Colmenares. Se encontraba en la unidad de cuidados intensivos para pacientes con covid-19…”,"0 Likes, 0 Comments - SanJoaquín Escucha (@sjescucha) on Instagram: “#3Ene Falleció el neurocirujano infantil Carlos Colmenares. Se encontraba en la unidad de cuidados…”",https://www.instagram.com/p/CK2U1cvMbII/?igshid=lze59i8hlec2,Point,-72.2441841,7.75976341
,,,,,,45,52,0.7803,Place,Colombia,55,76,0.9672,Person,Carlos Holmes Trujillo,109,134,0.8392,Place,Hospital Militar de Bogotá,,,,,,,228,251,https://t.co/T8kL9pGRQi,https://twitter.com/molikar/status/1354017314069426176/photo/1,pic.twitter.com/T8kL9pGRQi,1354017314069426176,everyone,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,,,,,,,,0,False,0,False,1354017314069426176,Twitter for Android,142300415,False,31354017312161091585,2021-01-26T10:44:18+00:00,es,"ÚLTIMA HORA 
Muere el ministro de Defensa de Colombia, Carlos Holmes Trujillo. Se encontraba internado en el Hospital Militar de Bogotá y era tratado en la unidad de cuidados intensivos por complicaciones derivadas de covid-19. https://t.co/T8kL9pGRQi",006fa5d223223cfc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,50,78,0.2296,Place,Unidad de Cuidados Intensivos,94,107,0.3638,Place,JM Casal Ramos,,,,,,110,119,Acarigua,120,127,Araure,280,303,https://t.co/BAtYulIL8s,https://twitter.com/ASOPORTUGUESA/status/1350099751895773188/photo/1,pic.twitter.com/BAtYulIL8s,1350099745688137733,everyone,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,,,,,,,,1,True,3,False,1350099751895773188,Twitter for iPhone,522622860,False,31350099747055542275,2021-01-15T15:17:19+00:00,es,"Aquí, participamos en la impermeabilización de la Unidad de Cuidados Intensivos del Hospital “JM Casal Ramos” #Acarigua #Araure.
⠀
En tiempos de pandemia, debemos velar por nuestra salud y, aunque seguimos cuidándonos para no contagiarnos, tampoco nos descuidamos en otras áreas. https://t.co/BAtYulIL8s",019e6a103559d590,replied_to,1350099745688137733,,,,,,,,,,,522622860,280,303,https://t.co/BAtYulIL8s,https://twitter.com/ASOPORTUGUESA/status/1350099751895773188/photo/1,pic.twitter.com/BAtYulIL8s,31350099747101683725,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,125,148,https://t.co/b1v7DF0fqV,https://twitter.com/el_pais/status/1347543437248229376,twitter.com/el_pais/status…,1347646690145296386,everyone,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,,,,,,,,0,False,0,False,1347646690145296386,Twitter for Android,87550706,False,,2021-01-08T20:49:43+00:00,es,"Lo que había que evitar, el COVID no es mortal perse, pero si le metes centenares de pacientes a las UCIS colapsa el sistema https://t.co/b1v7DF0fqV",01be351754bcbe13,quoted,1347543437248229376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1346465677989691394,everyone,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,,,,,,,,2,False,5,False,1346465677989691394,Twitter for Android,905002682,False,,2021-01-05T14:36:48+00:00,es,Deberían negarle las ucis a los q participaron en marchas y protestas durante la pandemia y a sus patrocinadores q son peores,015cbec154ca1c9c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
