possibly_sensitive,entities/annotations/0/start,entities/annotations/0/end,entities/annotations/0/probability,entities/annotations/0/type,entities/annotations/0/normalized_text,entities/urls/0/start,entities/urls/0/end,entities/urls/0/url,entities/urls/0/expanded_url,entities/urls/0/display_url,entities/urls/0/images/0/url,entities/urls/0/images/0/width,entities/urls/0/images/0/height,entities/urls/0/images/1/url,entities/urls/0/images/1/width,entities/urls/0/images/1/height,entities/urls/0/status,entities/urls/0/title,entities/urls/0/description,entities/urls/0/unwound_url,entities/mentions/0/start,entities/mentions/0/end,entities/mentions/0/username,entities/mentions/1/start,entities/mentions/1/end,entities/mentions/1/username,entities/mentions/2/start,entities/mentions/2/end,entities/mentions/2/username,entities/hashtags/0/start,entities/hashtags/0/end,entities/hashtags/0/tag,in_reply_to_user_id,author_id,id,created_at,reply_settings,context_annotations/0/domain/id,context_annotations/0/domain/name,context_annotations/0/domain/description,context_annotations/0/entity/id,context_annotations/0/entity/name,lang,text,conversation_id,source,geo/place_id,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,entities/hashtags/1/start,entities/hashtags/1/end,entities/hashtags/1/tag,attachments/media_keys/0,entities/hashtags/2/start,entities/hashtags/2/end,entities/hashtags/2/tag,entities/hashtags/3/start,entities/hashtags/3/end,entities/hashtags/3/tag,entities/annotations/1/start,entities/annotations/1/end,entities/annotations/1/probability,entities/annotations/1/type,entities/annotations/1/normalized_text,entities/annotations/2/start,entities/annotations/2/end,entities/annotations/2/probability,entities/annotations/2/type,entities/annotations/2/normalized_text
False,32,38,0.4958,Person,Yajaira,128,151,https://t.co/FtoKhqGxnN,https://www.gofundme.com/f/fondos-de-ayuda-para-yajaira-por-covid19?utm_source=whatsapp-visit&utm_medium=chat&utm_campaign=p_cp+share-sheet,gofundme.com/f/fondos-de-ay…,https://pbs.twimg.com/news_img/1387033080125399041/N4B-zrHJ?format=jpg&name=orig,742,419,https://pbs.twimg.com/news_img/1387033080125399041/N4B-zrHJ?format=jpg&name=150x150,150,150,200,"Fondos de ayuda para Yajaira por COVID-19, organized by Darinka Torres",Necesitamos de tu ayuda ..! Por causa del virus ya conocido por todos y que e… Darinka Torres needs your support for Fondos de ayuda para Yajaira por COVID-19,https://www.gofundme.com/f/fondos-de-ayuda-para-yajaira-por-covid19?utm_source=whatsapp-visit&utm_medium=chat&utm_campaign=p_cp+share-sheet,False,13,fundasperven,152,164,torresale71,165,174,GreyMena,14,30,ServicioPublico,399630167,21964479,1376983195502182409,2021-03-30T19:42:31+00:00,everyone,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,es,"@fundasperven #ServicioPublico 
Yajaira necesita apoyo para superar la COVID-19. Más detalles, link de GoFundMe para ayudarla👇:
https://t.co/FtoKhqGxnN
@torresale71 @GreyMena",1376983195502182409,Twitter for Android,00ec4c32070f5076,6,0,2,0,,,,,,,,,,,,,,,,,,,,
False,,,,,,211,234,https://t.co/HNhY5ndAQK,https://twitter.com/LidkRodelo/status/1373414918528061440/photo/1,pic.twitter.com/HNhY5ndAQK,,,,,,,,,,,,,,,,,,,,0,16,ServicioPúblico,,67153643,1373414918528061440,2021-03-20T23:23:28+00:00,everyone,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,es,"#ServicioPúblico Para paciente con COVID-19 en #Guarenas se requiere con urgencia, en calidad de donación, lo siguiente:

√ Levofloxacina 500mg ampollas

√ Bombona de oxígeno

Contacto: Yuviris Coy
0424-1374295 https://t.co/HNhY5ndAQK",1373414918528061440,Twitter for Android,01c93e351e3122fb,156,1,34,2,47,56,Guarenas,31373414915894095876,,,,,,,,,,,,,,,,
False,112,118,0.9925,Place,Caracas,155,178,https://t.co/m9clSebp5U,https://twitter.com/milmanrique/status/1371855359510478853/photo/1,pic.twitter.com/m9clSebp5U,,,,,,,,,,,,,,,,,,,,0,7,16marz,,130672677,1371855359510478853,2021-03-16T16:06:20+00:00,everyone,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,es,"#16marz #ServicioPublico 

🆘 Con carácter de URGENCIA buscamos este medicamento para paciente con #covid_19 en Caracas 

➡️ TOCILIZUMAB 200mg 

#Venezuela https://t.co/m9clSebp5U",1371855359510478853,Twitter for iPhone,00ec4c32070f5076,226,6,23,1,8,24,ServicioPublico,31371855356092149766,98,107,covid_19,144,154,Venezuela,,,,,,,,,,
False,85,107,0.9604,Person,Werner Gutiérrez Ferrer,267,290,https://t.co/7bgOARvS2S,https://twitter.com/FagroLUZ/status/1371236110253326347/photo/1,pic.twitter.com/7bgOARvS2S,,,,,,,,,,,,,,,,,,,,0,16,ServicioPublico,,111312959,1371236110253326347,2021-03-14T23:05:39+00:00,everyone,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,es,"#ServicioPublico Recurrimos a tu apoyo y generosidad para ayudar a nuestro compañero Werner Gutiérrez Ferrer, exdecano de FagroLUZ, y su esposa Mirvana Boves, egresada de esta facultad,quienes en estos momentos padecen Covid-19. Dios les compense. (Inf en el flyer). https://t.co/7bgOARvS2S",1371236110253326347,Twitter for Android,01d677e97eae46b3,30,0,18,0,,,,31371236106910453762,,,,,,,122,129,0.4323,Person,FagroLUZ,144,156,0.5873,Person,Mirvana Boves
