entities/hashtags/0/start,entities/hashtags/0/end,entities/hashtags/0/tag,entities/annotations/0/start,entities/annotations/0/end,entities/annotations/0/probability,entities/annotations/0/type,entities/annotations/0/normalized_text,entities/urls/0/start,entities/urls/0/end,entities/urls/0/url,entities/urls/0/expanded_url,entities/urls/0/display_url,context_annotations/0/domain/id,context_annotations/0/domain/name,context_annotations/0/domain/description,context_annotations/0/entity/id,context_annotations/0/entity/name,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,lang,source,text,author_id,created_at,geo/place_id,possibly_sensitive,reply_settings,conversation_id,attachments/media_keys/0,id,entities/annotations/1/start,entities/annotations/1/end,entities/annotations/1/probability,entities/annotations/1/type,entities/annotations/1/normalized_text
False,16,ServicioPublico,148,156,0.9967,Place,Venezuela,217,240,https://t.co/dF9s1hMic7,https://twitter.com/tovarguedez/status/1390082020542459911/photo/1,pic.twitter.com/dF9s1hMic7,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,7,2,5,0,es,Twitter for iPhone,"#ServicioPublico - para paciente covid-19 se requiere con urgencia Perfenidona en tabletas de 267 mg. La familia no la ha encontrado hasta ahora en Venezuela, pero si alguien tiene información, agradezco compartirla. https://t.co/dF9s1hMic7",49782961,2021-05-05T23:12:34+00:00,015cbec154ca1c9c,False,everyone,1390082020542459911,31390082016058675210,1390082020542459911,,,,,
False,16,ServicioPúblico,38,59,0.9795,Person,Carlos Olivares Romero,124,147,https://t.co/JRDbFb7KlU,https://twitter.com/tibisayromero/status/1389656974493683716/photo/1,pic.twitter.com/JRDbFb7KlU,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,720,4,190,11,es,Twitter for Android,#ServicioPúblico para mi primo médico Carlos Olivares Romero que está hospitalizado por Covid-19. Toda ayuda es importante. https://t.co/JRDbFb7KlU,116876568,2021-05-04T19:03:35+00:00,015d19216c749864,False,everyone,1389656974493683716,31389656972023193604,1389656974493683716,88,92,0.2666,Person,Covid
