entities/hashtags/0/start,entities/hashtags/0/end,entities/hashtags/0/tag,entities/hashtags/1/start,entities/hashtags/1/end,entities/hashtags/1/tag,entities/annotations/0/start,entities/annotations/0/end,entities/annotations/0/probability,entities/annotations/0/type,entities/annotations/0/normalized_text,entities/annotations/1/start,entities/annotations/1/end,entities/annotations/1/probability,entities/annotations/1/type,entities/annotations/1/normalized_text,entities/annotations/2/start,entities/annotations/2/end,entities/annotations/2/probability,entities/annotations/2/type,entities/annotations/2/normalized_text,entities/urls/0/start,entities/urls/0/end,entities/urls/0/url,entities/urls/0/expanded_url,entities/urls/0/display_url,entities/urls/0/images/0/url,entities/urls/0/images/0/width,entities/urls/0/images/0/height,entities/urls/0/images/1/url,entities/urls/0/images/1/width,entities/urls/0/images/1/height,entities/urls/0/status,entities/urls/0/title,entities/urls/0/description,entities/urls/0/unwound_url,context_annotations/0/domain/id,context_annotations/0/domain/name,context_annotations/0/domain/description,context_annotations/0/entity/id,context_annotations/0/entity/name,context_annotations/1/domain/id,context_annotations/1/domain/name,context_annotations/1/domain/description,context_annotations/1/entity/id,context_annotations/1/entity/name,context_annotations/2/domain/id,context_annotations/2/domain/name,context_annotations/2/domain/description,context_annotations/2/entity/id,context_annotations/2/entity/name,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,lang,source,text,author_id,created_at,possibly_sensitive,reply_settings,conversation_id,id,entities/hashtags/2/start,entities/hashtags/2/end,entities/hashtags/2/tag,entities/hashtags/3/start,entities/hashtags/3/end,entities/hashtags/3/tag,entities/hashtags/4/start,entities/hashtags/4/end,entities/hashtags/4/tag,entities/hashtags/5/start,entities/hashtags/5/end,entities/hashtags/5/tag,entities/hashtags/6/start,entities/hashtags/6/end,entities/hashtags/6/tag,entities/hashtags/7/start,entities/hashtags/7/end,entities/hashtags/7/tag,entities/hashtags/8/start,entities/hashtags/8/end,entities/hashtags/8/tag,entities/hashtags/9/start,entities/hashtags/9/end,entities/hashtags/9/tag,entities/hashtags/10/start,entities/hashtags/10/end,entities/hashtags/10/tag,entities/hashtags/11/start,entities/hashtags/11/end,entities/hashtags/11/tag,entities/hashtags/12/start,entities/hashtags/12/end,entities/hashtags/12/tag,entities/hashtags/13/start,entities/hashtags/13/end,entities/hashtags/13/tag,entities/hashtags/14/start,entities/hashtags/14/end,entities/hashtags/14/tag,entities/hashtags/15/start,entities/hashtags/15/end,entities/hashtags/15/tag,entities/hashtags/16/start,entities/hashtags/16/end,entities/hashtags/16/tag,entities/hashtags/17/start,entities/hashtags/17/end,entities/hashtags/17/tag,in_reply_to_user_id,referenced_tweets/0/type,referenced_tweets/0/id
0,6,AYUDA,238,246,gracias,30,43,0.9848,Person,Fernando Girón,63,67,0.4015,Place,Covid,75,83,0.9909,Place,Venezuela,248,271,https://t.co/bxNGg8nJ1a,https://www.gofundme.com/f/ayuda-a-rogelio-tosta-a-salvar-su-vida-de-covid19,gofundme.com/f/ayuda-a-roge…,https://pbs.twimg.com/news_img/1346460561253527552/uXvqu4Q4?format=jpg&name=orig,1080,720,https://pbs.twimg.com/news_img/1346460561253527552/uXvqu4Q4?format=jpg&name=150x150,150,150,200,"Ayúdame a Salvar La Vida de Mi Papa Rogelio Tosta, organized by Nathalie Giron Tosta",Queridos amigos. Este es mi papá Rogelio Tosta Faraco. En este… Nathalie Giron Tosta needs your support for Ayúdame a Salvar La Vida de Mi Papa Rogelio Tosta,https://www.gofundme.com/f/ayuda-a-rogelio-tosta-a-salvar-su-vida-de-covid19,10,Person,Named people in the world like Nelson Mandela,1155927827880955904,Elyangelica González,94,Journalist,A journalist like 'Anderson Cooper',1155927827880955904,Elyangelica González,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,1501,7,359,6,es,Twitter for iPhone,"#AYUDA El tío de mi querido ⁦ Fernando Girón está infectado de Covid 19 en Venezuela y necesita de nuestra ayuda. Sus gastos son sumamente elevados por la condición que presenta. Te pido leas su historia, dones lo que puedas y compartas. #gracias  https://t.co/bxNGg8nJ1a",76119597,2021-01-05T15:00:43+00:00,False,everyone,1346471696258142209,1346471696258142209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,126,134,0.9971,Place,Venezuela,,,,,,,,,,,163,186,https://t.co/CSkPgjuBiC,https://www.gofundme.com/f/ayuda-a-margarita-forero?utm_source=twitter&utm_medium=social&utm_campaign=p_cp+share-sheet,gofundme.com/f/ayuda-a-marg…,https://pbs.twimg.com/news_img/1350992163170095112/vtURsS72?format=jpg&name=orig,720,480,https://pbs.twimg.com/news_img/1350992163170095112/vtURsS72?format=jpg&name=150x150,150,150,200,"Ayuda a Margarita Forero, organized by Renny Bernal","Ayudemos a la Dra Margarita Forero Madre y abuela abnegada,  médico gineco-obstetra de profesió… Renny Bernal needs your support for Ayuda a Margarita Forero",https://www.gofundme.com/f/ayuda-a-margarita-forero?utm_source=twitter&utm_medium=social&utm_campaign=p_cp+share-sheet,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,,,,,,,,,,,3,0,2,0,es,Twitter for iPhone,Mi tía abuela se encuentra en un estado de salud por Covid 19 muy delicado y estamos recaudando fondos para su tratamiento en Venezuela. Les agradezco compartir.  https://t.co/CSkPgjuBiC,442335188,2021-01-03T18:44:03+00:00,False,everyone,1345803125228249091,1345803125228249091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,152,Venezuela,153,161,COVID19,,,,,,,,,,,,,,,,117,140,https://t.co/YnGBel2mKG,https://www.gofundme.com/f/wilmer-ortiz-covid?utm_source=whatsapp&utm_medium=chat&utm_campaign=p_cf+share-flow-1,gofundme.com/f/wilmer-ortiz…,https://pbs.twimg.com/news_img/1348286035621519362/gSpsYu31?format=jpg&name=orig,1200,800,https://pbs.twimg.com/news_img/1348286035621519362/gSpsYu31?format=jpg&name=150x150,150,150,200,"Ayuda a Wilmer a luchar por su vida Help 4 Wilmer, organized by Paola Pastran",Esta campaña es para Wilmer Ortiz profesor de la UCLA en el decanato d… Paola Pastran needs your support for Ayuda a Wilmer a luchar por su vida Help 4 Wilmer,https://www.gofundme.com/f/wilmer-ortiz-covid?utm_source=whatsapp&utm_medium=chat&utm_campaign=p_cf+share-flow-1,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,,,,,,,,,,,3,0,1,0,en,Twitter for Android,"Hi,

I'd really appreciate it if you would share or donate to this GoFundMe,

*Ayuda a Wilmer a luchar por su vida*

https://t.co/YnGBel2mKG

#Venezuela
#COVID19
#Help
#Covid_19
#2Enero
#URGENTE
#Emergencia",222881802,2021-01-02T17:17:17+00:00,False,everyone,1345418903091093506,1345418903091093506,162,167,Help,168,177,Covid_19,178,185,2Enero,186,194,URGENTE,195,206,Emergencia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,9,Covid_19,10,25,Covidvenezuela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,Ongoing News Story,Ongoing News Stories like 'Brexit',1220701888179359745,COVID-19,,,,,,,,,,,0,0,0,0,und,Twitter Web App,#Covid_19 #Covidvenezuela #covid #gofundme #ayuda #donacion #donation #oración #oración #Venezuela #Salud #donación #AyudemosAyudar #ServicioPublico #ServicioSocial #Mérida #Merida #MéridaVenezuela,104545109,2021-01-01T16:13:32+00:00,False,everyone,1345040463645057027,1345040468653072384,26,32,covid,33,42,gofundme,43,49,ayuda,50,59,donacion,60,69,donation,70,78,oración,79,87,oración,88,98,Venezuela,99,105,Salud,106,115,donación,116,131,AyudemosAyudar,132,148,ServicioPublico,149,164,ServicioSocial,165,172,Mérida,173,180,Merida,181,197,MéridaVenezuela,104545109,replied_to,1345040467445112837
