created_at,text
2021-04-28T23:17:21+00:00,"Venezuela: el país donde el fiscal general quiere sacar provecho del caso de los 2 ""HUMORISTAS"" que pusieron en tela de juicio el gofoundme de un artista enfermo, pero no ha emitido declaración alguna respecto a las acusaciones ya virales y conocidas. https://t.co/mwmF9wHTlV"
2021-04-26T05:21:31+00:00,"@the_efosa Hi, I'm a desperate son loocking for help to make a cirugy for my mother. We are in Venezuela in The middle of The pandemic and comunist chaos. Please take a look our gofoundme campaign. https://t.co/LsoN99MNn5"
2021-04-19T05:30:00+00:00,"#VENEZUELAENELMUNDO | Es una realidad que, la plataforma GoFoundMe se ha convertido en un apoyo para los venezolanos, dentro y fuera de su país.

https://t.co/Vmz7wU3wog."
2021-04-19T02:08:17+00:00,"Aún falta mucho, todavía los familiares de Anirt necesitan ayuda, son momentos muy fuertes para toda su familia

#Servicioupblico #RT #gofoundme #Venezuela 

En memoria de Anirt https://t.co/hVXOytHOyW"
2021-04-18T22:00:00+00:00,"#VENEZUELAENELMUNDO | Es una realidad que, la plataforma GoFoundMe se ha convertido en un apoyo para los venezolanos, dentro y fuera de su país.

https://t.co/Vmz7wUl7MQ."
2021-04-18T08:30:00+00:00,"#VENEZUELAENELMUNDO | Es una realidad que, la plataforma GoFoundMe se ha convertido en un apoyo para los venezolanos, dentro y fuera de su país.

https://t.co/Vmz7wU3wog."
2021-04-17T18:40:00+00:00,"#VENEZUELAENELMUNDO | Es una realidad que, la plataforma GoFoundMe se ha convertido en un apoyo para los venezolanos, dentro y fuera de su país.

https://t.co/Vmz7wU3wog."
2021-04-16T17:50:00+00:00,"#VENEZUELAENELMUNDO | Es una realidad que, la plataforma GoFoundMe se ha convertido en un apoyo para los venezolanos, dentro y fuera de su país.

https://t.co/Vmz7wUl7MQ."
2021-04-16T04:30:00+00:00,"#VENEZUELAENELMUNDO | Es una realidad que, la plataforma GoFoundMe se ha convertido en un apoyo para los venezolanos, dentro y fuera de su país.

https://t.co/8sbH0pN3v3."
2021-04-16T01:50:00+00:00,"#VENEZUELAENELMUNDO | Es una realidad que, la plataforma GoFoundMe se ha convertido en un apoyo para los venezolanos, dentro y fuera de su país.

https://t.co/Vmz7wU3wog."
2021-04-15T20:50:00+00:00,"#VENEZUELAENELMUNDO | Es una realidad que, la plataforma GoFoundMe se ha convertido en un apoyo para los venezolanos, dentro y fuera de su país.

https://t.co/Vmz7wUl7MQ. https://t.co/5npVPHuxV3"
2021-04-15T16:41:41+00:00,"#VENEZUELAENELMUNDO | Es una realidad que, la plataforma GoFoundMe se ha convertido en un apoyo para los venezolanos, dentro y fuera de su país.

https://t.co/8sbH0pvsDv."
2021-04-12T19:53:10+00:00,"Desde el #1Abr se han abierto 210 campañas de GoFoundMe para cubrir gastos médicos por covid-19. Hay campañas que buscan recaudar desde $2.000 hasta $100.000, en las cuales siempre se hace énfasis en la precaria situación hospitalaria de Venezuela https://t.co/92niOu75dH"
2021-04-09T14:42:17+00:00,Venezuela recurre a GoFoundMe para luchar contra el Covid-19 - https://t.co/gBVWf5yI90 #9Abr #venezuela #coronavirus @VozdeAmerica Redacción: @JoalexPinango https://t.co/nbtNW0S88z
2021-04-07T12:37:58+00:00,La educación de este nuevo hijo del presidente Juan Guaidó requiere de un GoFoundMe para pagar el semestre de la #UCAB en $1500 dólares #Venezuela. https://t.co/aBqcQt7qtX
2021-04-06T07:08:20+00:00,"My Twitter/Facebook feeds are full of GoFoundMe campaigns for #COVIDー19 treatments. In Venezuela the lack of a functional health system means that if you or your family member get severe Covid, you have to rely on the charity of others to have any chance to survive it. https://t.co/gr3uXdJTu3"
