created_at,text
2021-04-29T13:12:42+00:00,"Atender a los pacientes con Covid-19 es una tragedia diaria, pues el tratamiento es costoso y precario. El régimen es indolente he ineficiente, solo le interesa mantener el poder sin importar la vida de los venezolanos. 
#MedicinasUrgentesParaVzla https://t.co/0RQAHhzcr0"
2021-04-28T21:17:54+00:00,"#28Abr El padre Beltrán Sánchez superó el #Covid_19. El párroco d la iglesia Santa Cruz de Pacairigua d #Guatire recibió el alta médica del Hosp Victorino Santaella d #LosTeques
Seguirá con tratamiento y supervisión en casa para recuperase d las secuelas
https://t.co/McAg7ZS6xP"
2021-04-26T21:55:49+00:00,"#26Abr Al final de la noche del domingo #25Abr falleció la enfermera del Hospital de #Guatire Lotty Colemares (58) por complicaciones derivadas del #COVID19. Murió en la UCI del hospital centinela, esperando conseguir el tratamiento que le indicaron
https://t.co/cZjnqgz6dv"
2021-04-26T13:50:57+00:00,"Se entegaron 6 nuevos equipos de ventilación mecánica y 30 nuevas camas clínicas, lo que permitirá la ampliación del área de tratamiento intermedio, para pacientes con covid-19 del hospital de Cumaná y Carúpano.
#SucreProducePorVenezuela https://t.co/joIs14ikdF"
2021-04-26T10:08:44+00:00,TRATAMIENTO PARA COVID-19 YA     VACUNAS YA
2021-04-26T10:02:53+00:00,"@NicolasMaduro PRESIDENTE UD. DIJO Q HOSPITAL Y CDI TIENEN TRATAMIENTO PARA COVID-19, SI ES ASÍ ALGUIEN NO LO DA, ME OFREZCO PARA IR A ESA TRINCHERA Y ENTREGAR TRATAMIENTO, DONDE SEA Y QUIEN SEA @clarcklaurens1 @ejdecena @HectoRodriguez @PCV_Ve"
2021-04-26T09:56:47+00:00,"@ejdecena @NicolasMaduro @clarcklaurens1 @PaolaKatari @PCV_Ve ESPERO QUE CAMBIE, 1 DE LAS PERSONAS CON COVID-19 ESTÁ SALIENDO DE UN CANCER , CLARO CAMBIA QUE EL PRESIDENTE DE EL TRATAMIENTO COMPLETO PARA LOS 3 , Y TODO EL PUEBLO Q LO NECESITA, ME OFREZCO PARA ENTREGAR ESE TRATAMIENTO DONDE SEA, QUIEN SEA, ESPERO POR UD PRESIDENTE ."
2021-04-26T09:45:51+00:00,"@NicolasMaduro PRESIDENTE UD DIJO Q ESTÁ GARANTIZADO PARA EL PUEBLO TRATAMIENTO DE COVID-19, DONDE LO DAN HOSPITALES Y CDI NO LO TIENEN, TENGO 2 SOBRINOS Y SU MAMÁ CON EL VIRUS, LO NECESITAMOS Y NO PODEMOS COMPRARLO, DONDE LOS DAN @clarcklaurens1 @ejdecena @PaolaKatari @PCV_Ve"
2021-04-26T02:59:01+00:00,Se Entregan Tratamiento Farmacológico a los Pte Recuperados de COVID-19 Para el Reforzamiento de su Sistema Inmunológico #LaVictoriaEsDeVenezuela  Gracias a Nuestro Pdte @NicolasMaduro a la Gestión de Nuestra Podrá @MagaGutierrezV @ivssoficial #ViviremosYVenceremos https://t.co/IORb0sQftY
2021-04-26T01:38:53+00:00,"@ejdecena @NicolasMaduro @nicmaduroguerra @HectoRodriguez @ejdecena @clarcklaurens1 PRESIDENTE EN DIAS PASADO POR TELEVISIÓN UD.DIJO QUE EL PUEBLO DE VENEZUELA TENIA GARANTIZADO  EL TRATAMIENTO  PARA COVID-19, AHORITA TENGO 1 ADULTO Y 2 ADOLESCENTES DONDE BUSCO EL TRATAMIENTO"
2021-04-21T03:05:56+00:00,"El sueldo mínimo mensual es de 2$ y el tratamiento contra la Covid-19 va desde 800$ a más de 1000$ ¿Quién puede pagarlo? Solo la élite del régimen,  de resto los venezolanos estamos a la buena de https://t.co/ntcq36O0r9 necesario vacunar a todos.
#VacunasUrgentes https://t.co/znatBOK2wA"
2021-04-21T01:01:32+00:00,"Pagar el tratamiento para superar la Covid-19 es imposible con el #salariodehambre producto de la catástrofe económica del régimen.

En los hogares venezolanos la familia no puede ni siquiera comprar alimentos para cubrir las 3 comidas diarias.  #VacunaciónUrgente"
2021-04-19T13:01:16+00:00,"#LaVozDeSucre El tratamiento intensivo para la atención de paciente con covid-19, está distribuido en los principales centros centinelas. @EdwinRojasM 

@LaVozDeSucre_ 
#AbrilDeFuegoPatrio #SucreEsIndependenciaYLealtad https://t.co/dJflLoYIgS"
2021-04-14T15:23:14+00:00,"1 ampolla de tocilizumab (actemra) tiene un costo de 600$, la consigues económica en 520$. La están indicando como parte del tratamiento para el covid-19 (unas 6 ampollas). A cuidarse!"
2021-04-14T09:47:23+00:00,@drodriven2 @OianeB @NicolasMaduro Camarada y porque hay tanta gente haciendo rifa y pidiendo donaciones para poder comprar el tratamiento contra el covid 19 no es un montaje es una realidad que estamos viviendo y no podemos tapar ☀️☀️con los dedos
2021-04-13T10:19:47+00:00,"Budesonida, un glucocorticoide inhalado, parece ser un tratamiento eficaz para la infección temprana por COVID-19, que podría aplicarse a los sistemas sanitarios mundiales. https://t.co/mEDnbEFscz"
2021-04-12T14:31:05+00:00,"#LaVozDeSucre📣 .Se realizó dotación de insumos en el hospital Santos Aníbal Dominicci de Carúpano, Para garantizar el tratamiento y óptima atención a pacientes con la covid-19.

#LaVozDeSucre
#SucreSeCuidaContraElCovid
@nicolasmaduro 
@mippcivzla 
@presidencialven
@EdwinRojasM https://t.co/PV6HicoWwx"
2021-04-12T14:03:38+00:00,"@EdwinRojasM, desde @LaVozDeSucre_:  ""Se realizó dotación de insumos en el hospital Santos Aníbal Dominicci de Carúpano, Para garantizar el tratamiento y óptima atención a pacientes con la covid-19.""
#SucreSeCuidaContraElCovid
@nicolasmaduro 
@presidencialven @mayurisantuare2"
2021-04-12T02:49:51+00:00,@leometal7 @carmeLaLongo https://t.co/GgTuaXluHc
