created_at,text
2021-04-28T11:18:54+00:00,"Sumado al dolor por la muerte de Aristóbulo Istúriz, necesito para mi mamá y mi hermana, hospitalizadas en Altagracia de Orituco con covid-19, 12 inyecciones de Remdesivir URGENTE! Otra hermana también se contagió es atendida como empleada del BCV en el centro médico de Caracas."
2021-04-27T13:53:51+00:00,"Muy triste por la muerte del profesor Andrés Stambouli por culpa del COVID 19. 
Tuve el honor de ser su alumno, poder leerlo y recibir sus clases es un privilegio que siempre llevaré conmigo. 
Que en paz descanse."
2021-04-24T17:18:23+00:00,"@eloscarale *disminuye las probabilidades de contagio, complicación grave y muerte* 

Y aunque no evita que al menos 1 en cada 100.000 igual muera por complicaciones por Covid-19, si aumenta las probabilidades que los vacunados no se contagien, no necesiten ser hospitalizados y/o mueran"
2021-04-24T14:23:13+00:00,"Éste capítulo se llama ""Danzando alrededor de la muerte"".
Todos los venezolanos tenemos derecho a recibir la vacuna contra el #Covid_19, pero algunos tienen más derechos que otros ( y se jactan de ello) https://t.co/dcSBiNhFPe"
2021-04-20T00:15:53+00:00,"Lamento la muerte del Alcalde  Bastidas, como la de cada venezolano que sufre los embates del Covid-19.

Estamos llamados a hacer todos los esfuerzos por proteger todos los #Venezolanos 

Esta situación nos afecta a todos por igual.

Mi solidaridad a familiares y amigos."
2021-04-18T23:36:23+00:00,@MadePortuguesa @Janorys4 @cubacooperavepo Héroes anónimos de batas blancas en el Estado Portuguesa ejemplarizando salud en el hermano país abordajes en todos los municipios eliminando la covid 19 Porque Somos de Patria o Muerte Venceremos y Venceremos esta pandemia #SomosCuba #CubaPorLaVida #CubaViva https://t.co/l22Ag37Bje
2021-04-18T00:22:24+00:00,"Dios mío, será así que hay que hablarle a la gente, el COVID 19 no es un juego:

No es Ignorancia es FALTA DE CONCIENCIA CIVICA... el que no quiera parar bolas, compre un saco de cal una bolsa plástica de 250 Lts y salga a retar a la muerte..... Nooooo Joooodaaaa..!!!"
2021-04-17T02:00:15+00:00,"Dios mío, será así que hay que hablarle a la gente, el COVID 19 no es un juego:

No es Ignorancia es FALTA DE CONCIENCIA CIVICA... el que no quiera parar bolas, compre un saco de cal una bolsa plástica de 250 Lts y salga a retar a la muerte..... Nooooo Joooodaaaa..!!!"
2021-04-10T17:21:50+00:00,"SABEN QUIEN SE LLENA DE REGOCIJO POR LA MUERTE DE VENEZOLANOS POR EL COVID-19, JULIO BORGES Y DE PASO SE LAMENTA POR SOLO HABER ASESINADO UN NIÑO POR ESO HUYÓ A COLOMBIA AHORA REINA EN LA COCA"
2021-04-07T22:52:58+00:00,"La cuarentena sin planes de vacunación solo sirve al régimen como control social para quedarse en el poder, nos quieren en casa con hambre o muertos por el #COVID-19, necesitamos las vacunas para salvar al pueblo del sufrimiento y la muerte. #GuáricoExijeVacunas https://t.co/R5ct1WwQyb"
2021-04-07T22:39:23+00:00,"Guariqueños exigimos la entrada de las vacunas y el plan de vacunación para todos que nos salvaría de la muerte por #COVID-19
#GuáricoExigeVacunas https://t.co/Cwes9Gzs5T"
2021-04-07T22:14:33+00:00,"Guariqueños exigimos la entrada de las vacunas y el plan de vacunación para todos que nos salvaría de la muerte por #COVID-19
#GuáricoExigeVacunas https://t.co/3s8MRz95Fp"
2021-04-07T22:14:18+00:00,"Guariqueños exigimos la entrada de las vacunas y el plan de vacunación para todos que nos salvaría de la muerte por #COVID-19
#GuáricoExigeVacunas https://t.co/vw6lTgewKJ"
2021-04-07T22:13:46+00:00,"La cuarentena sin planes de vacunación solo sirve al régimen como control social para quedarse en el poder, nos quieren en casa con hambre o muertos por el #COVID-19, necesitamos las vacunas para salvar al pueblo del sufrimiento y la muerte. #GuáricoExijeVacunas https://t.co/MSkxnAQcE1"
2021-04-07T22:13:17+00:00,"La cuarentena sin planes de vacunación solo sirve al régimen como control social para quedarse en el poder, nos quieren en casa con hambre o muertos por el #COVID-19, necesitamos las vacunas para salvar al pueblo del sufrimiento y la muerte. #GuáricoExijeVacunas https://t.co/CGl7ffZ0GD"
2021-04-07T22:11:18+00:00,"La cuarentena sin planes de vacunación solo sirve al régimen como control social para quedarse en el poder, nos quieren en casa con hambre o muertos por el #COVID-19, necesitamos las vacunas para salvar al pueblo del sufrimiento y la muerte. #GuáricoExijeVacunas https://t.co/xS9iLMG1KK"
2021-04-07T22:08:04+00:00,"Guariqueños exigimos la entrada de las vacunas y el plan de vacunación para todos que nos salvaría de la muerte por #COVID-19
#GuáricoExigeVacunas https://t.co/BmTrYh8IyE"
