,tags,current amount,total_amount,currency used,current amount in dollars,total amount in dollars,percentage of completion,created,launch_date,country,donation_count,is_charity
88,Other,170,100000,USD,170.0,100000.0,0.16999999999999998,"Created July 15, 2020",2020-07-15,US,3,false
89,"Medical, Illness & Healing",54,1350,EUR,64.2276,1605.69,3.9999999999999996,"Created February 25, 2021",2021-02-25,US,3,false
90,"Medical, Illness & Healing",150,1000,USD,150.0,1000.0,15.0,"Created April 13, 2021",2021-04-13,US,2,false
91,"Medical, Illness & Healing",80,5750,USD,80.0,5750.0,1.391304347826087,"Created April 2, 2021",2021-04-02,US,2,false
92,"Medical, Illness & Healing",35,7500,EUR,41.629,8920.5,0.4666666666666666,"Created September 18, 2020",2020-09-18,US,2,false
93,"Medical, Illness & Healing",100,2500,USD,100.0,2500.0,4.0,"Created March 16, 2021",2021-03-16,US,1,false
94,"Medical, Illness & Healing",5000,5000,EUR,5947.0,5947.0,100.0,Created 2 days ago,2021-04-18,US,0,false
95,"Medical, Illness & Healing",1000,1000,USD,1000.0,1000.0,100.0,"Created April 13, 2021",2021-04-13,US,0,false
96,Accidents & Emergencies,15000,15000,EUR,17841.0,17841.0,100.0,"Created April 1, 2021",2021-04-01,US,0,false
97,"Medical, Illness & Healing",10000,10000,USD,10000.0,10000.0,100.0,"Created March 26, 2021",2021-03-26,US,0,false
98,"Medical, Illness & Healing",800,800,USD,800.0,800.0,100.0,"Created March 20, 2021",2021-03-20,US,0,false
99,"Medical, Illness & Healing",50000,50000,USD,50000.0,50000.0,100.0,"Created August 21, 2020",2020-08-21,US,0,false
100,Business & Entrepreneurs,6000,6000,USD,6000.0,6000.0,100.0,"Created July 22, 2020",2020-07-22,US,0,false
101,"Medical, Illness & Healing",8820,8820,GBP,12240.394847381687,12240.394847381687,100.0,"Created March 28, 2021",2021-03-28,US,128,false
102,"Medical, Illness & Healing",3495,3495,USD,3495.0,3495.0,100.0,"Created March 29, 2021",2021-03-29,US,52,false
103,"Medical, Illness & Healing",2921,2921,EUR,3474.2374,3474.2374,100.0,"Created January 20, 2021",2021-01-20,US,43,false
