,tags,current amount,total_amount,currency used,current amount in dollars,total amount in dollars,percentage of completion,created,launch_date,country,donation_count,is_charity
442,"Medical, Illness & Healing",415,6000,EUR,493.601,7136.4,6.916666666666667,Created 3 days ago,2021-04-17,US,12,false
443,Accidents & Emergencies,6830,19300,EUR,8123.602,22955.420000000002,35.38860103626943,"Created April 5, 2021",2021-04-05,US,119,false
444,"Medical, Illness & Healing",2185,20000,USD,2185.0,20000.0,10.925,"Created November 15, 2020",2020-11-15,US,51,false
445,"Medical, Illness & Healing",2762,30000,USD,2762.0,30000.0,9.206666666666667,Created 7 days ago,2021-04-13,US,55,false
446,"Medical, Illness & Healing",40029,180000,USD,40029.0,179999.99999999997,22.238333333333337,"Created July 10, 2020",2020-07-10,US,269,false
447,"Medical, Illness & Healing",46579,30000,USD,46579.0,30000.0,155.26333333333332,"Created January 27, 2021",2021-01-27,US,342,false
448,Accidents & Emergencies,13134,30000,EUR,15621.579600000001,35682.0,43.78,"Created January 7, 2021",2021-01-07,US,340,false
449,"Medical, Illness & Healing",2910,30000,USD,2910.0000000000005,30000.0,9.700000000000001,"Created April 3, 2021",2021-04-03,US,68,false
450,"Medical, Illness & Healing",5074,12000,EUR,6035.0156,14272.8,42.28333333333333,"Created July 11, 2020",2020-07-11,US,130,false
451,Accidents & Emergencies,8513,25000,USD,8513.0,25000.0,34.052,"Created April 6, 2021",2021-04-06,US,152,false
452,"Medical, Illness & Healing",1045,5000,USD,1045.0,5000.0,20.9,Created 4 days ago,2021-04-17,US,18,false
453,"Medical, Illness & Healing",12594,20000,USD,12594.0,20000.0,62.970000000000006,"Created January 7, 2021",2021-01-07,US,214,false
454,"Medical, Illness & Healing",3422,20000,USD,3422.0,20000.0,17.11,"Created March 26, 2021",2021-03-26,US,79,false
455,"Medical, Illness & Healing",1896,5000,USD,1896.0,5000.0,37.92,"Created January 7, 2021",2021-01-07,US,54,false
456,Funerals & Memorials,12107,20000,USD,12106.999999999998,20000.0,60.535,"Created April 28, 2020",2020-04-28,US,203,false
457,Funerals & Memorials,4772,3500,USD,4772.0,3500.0,136.34285714285716,"Created August 4, 2020",2020-08-04,US,110,false
458,Education & Learning,629,32089,EUR,748.1326,38166.6566,1.960173268098102,"Created April 7, 2021",2021-04-07,US,19,false
459,"Medical, Illness & Healing",12910,25000,USD,12910.000000000002,25000.0,51.64000000000001,"Created November 25, 2020",2020-11-25,US,583,false
460,Funerals & Memorials,44068,100000,USD,44068.0,100000.0,44.068000000000005,"Created August 19, 2020",2020-08-19,US,675,false
461,"Medical, Illness & Healing",4062,105000,USD,4062.0,105000.0,3.8685714285714288,"Created April 11, 2021",2021-04-11,US,67,false
462,"Medical, Illness & Healing",310,6000,EUR,368.714,7136.4,5.166666666666667,Created 19 hours ago,2021-04-20,US,10,false
463,Education & Learning,12250,48000,USD,12250.0,48000.0,25.520833333333332,"Created July 15, 2020",2020-07-15,US,215,false
464,"Medical, Illness & Healing",847,7000,EUR,1007.4218,8325.8,12.100000000000001,"Created April 7, 2021",2021-04-07,US,56,false
465,"Medical, Illness & Healing",1675,5000,USD,1675.0,5000.0,33.5,Created 4 days ago,2021-04-16,US,14,false
466,Accidents & Emergencies,20425,40000,EUR,24293.495,47576.0,51.0625,"Created January 30, 2021",2021-01-30,US,304,false
467,Accidents & Emergencies,4050,30000,USD,4050.0,30000.0,13.5,"Created October 28, 2020",2020-10-28,US,105,false
468,"Medical, Illness & Healing",4168,15000,USD,4168.0,15000.0,27.786666666666665,"Created April 28, 2020",2020-04-28,US,165,false
469,"Medical, Illness & Healing",7929,12000,USD,7929.0,12000.0,66.07499999999999,"Created August 12, 2020",2020-08-12,US,130,false
470,"Medical, Illness & Healing",4492,10000,USD,4492.0,10000.0,44.92,"Created April 4, 2021",2021-04-04,US,59,false
471,"Medical, Illness & Healing",7601,20000,USD,7601.000000000001,20000.0,38.005,"Created April 3, 2021",2021-04-03,US,76,false
472,"Medical, Illness & Healing",2599,10000,EUR,3091.2506,11894.0,25.989999999999995,"Created March 30, 2021",2021-03-30,US,81,false
473,"Medical, Illness & Healing",13596,15000,USD,13596.0,15000.0,90.64,"Created August 19, 2020",2020-08-19,US,149,false
474,"Medical, Illness & Healing",3394,6000,EUR,4036.8236,7136.4,56.56666666666668,"Created July 18, 2020",2020-07-18,US,71,false
475,"Medical, Illness & Healing",4985,,USD,4985.000000000001,,,"Created April 2, 2021",2021-04-02,US,55,false
476,"Medical, Illness & Healing",24444,1,USD,24444.0,0.9999999999999999,2444400.0000000005,"Created March 31, 2021",2021-03-31,US,261,false
477,"Medical, Illness & Healing",4129,25000,USD,4129.0,25000.0,16.516000000000002,"Created April 12, 2021",2021-04-12,US,46,false
478,Funerals & Memorials,22529,20000,USD,22529.0,20000.0,112.645,"Created August 6, 2020",2020-08-06,US,418,false
479,"Medical, Illness & Healing",11964,30000,USD,11964.0,30000.0,39.879999999999995,"Created July 19, 2020",2020-07-19,US,170,false
480,"Medical, Illness & Healing",4312,43916,USD,4312.0,43915.99999999999,9.818744876582567,"Created May 23, 2020",2020-05-23,US,49,false
481,"Medical, Illness & Healing",650,10000,USD,650.0,10000.0,6.5,Created 4 days ago,2021-04-16,US,13,false
482,"Medical, Illness & Healing",5610,32000,USD,5610.0,32000.0,17.53125,"Created July 27, 2020",2020-07-27,US,86,false
483,"Medical, Illness & Healing",1518,,USD,1518.0,,,"Created April 7, 2021",2021-04-07,US,22,false
484,"Medical, Illness & Healing",12045,30000,EUR,14326.323,35682.0,40.150000000000006,"Created April 14, 2020",2020-04-14,US,125,false
485,"Medical, Illness & Healing",3954,15000,EUR,4702.8876,17841.0,26.36,"Created June 27, 2020",2020-06-27,US,121,false
486,"Medical, Illness & Healing",805,5000,USD,805.0,5000.0,16.1,"Created April 3, 2021",2021-04-03,US,18,false
487,"Medical, Illness & Healing",18950,200000,USD,18950.0,200000.0,9.475,"Created August 12, 2020",2020-08-12,US,125,false
488,Accidents & Emergencies,8486,15000,USD,8486.0,15000.0,56.57333333333333,"Created September 2, 2020",2020-09-02,US,206,false
489,"Medical, Illness & Healing",17056,15000,USD,17056.0,15000.0,113.70666666666666,"Created August 1, 2020",2020-08-01,US,158,false
490,Accidents & Emergencies,12396,10000,USD,12395.999999999998,10000.0,123.95999999999998,"Created August 6, 2020",2020-08-06,US,274,false
491,"Medical, Illness & Healing",8003,7000,USD,8003.0,7000.0,114.32857142857142,"Created April 25, 2020",2020-04-25,US,146,false
492,"Medical, Illness & Healing",7536,13000,EUR,8963.3184,15462.2,57.96923076923076,"Created June 17, 2020",2020-06-17,US,156,false
493,"Medical, Illness & Healing",6747,20000,USD,6747.0,20000.0,33.735,"Created September 14, 2020",2020-09-14,US,166,false
494,"Medical, Illness & Healing",7110,20000,USD,7110.0,20000.0,35.55,"Created January 21, 2021",2021-01-21,US,60,false
495,"Medical, Illness & Healing",16144,15000,USD,16143.999999999998,15000.0,107.62666666666665,"Created November 26, 2020",2020-11-26,US,212,false
496,"Medical, Illness & Healing",10955,20000,USD,10955.0,20000.0,54.775,"Created November 20, 2020",2020-11-20,US,120,false
497,Community & Neighbors,15101,10000,USD,15101.0,10000.0,151.01,"Created May 4, 2020",2020-05-04,US,148,false
498,"Medical, Illness & Healing",1548,10000,USD,1548.0,10000.0,15.479999999999999,"Created April 7, 2021",2021-04-07,US,41,false
499,"Medical, Illness & Healing",11772,12500,EUR,14001.6168,14867.5,94.17599999999999,"Created December 22, 2020",2020-12-22,US,150,false
500,"Medical, Illness & Healing",3107,30000,USD,3107.0,30000.0,10.356666666666667,"Created May 8, 2020",2020-05-08,US,73,false
501,"Medical, Illness & Healing",160,3500,USD,160.0,3500.0,4.571428571428571,Created 4 days ago,2021-04-16,US,8,false
502,"Medical, Illness & Healing",6673,52000,GBP,9260.788527956687,72165.59320451788,12.832692307692305,"Created April 18, 2020",2020-04-18,US,105,false
503,"Medical, Illness & Healing",5572,25000,USD,5572.0,25000.0,22.288,"Created August 13, 2020",2020-08-13,US,86,false
504,"Medical, Illness & Healing",19274,120000,USD,19274.0,120000.0,16.061666666666667,"Created September 6, 2020",2020-09-06,US,242,false
505,Community & Neighbors,5185,5000,EUR,6167.039,5947.0,103.69999999999999,"Created March 31, 2020",2020-03-31,US,125,false
506,"Medical, Illness & Healing",16742,50000,USD,16742.0,50000.0,33.484,"Created September 1, 2020",2020-09-01,US,175,false
507,"Medical, Illness & Healing",5583,10000,USD,5583.0,10000.0,55.83,"Created June 27, 2020",2020-06-27,US,54,false
508,"Medical, Illness & Healing",5447,5000,EUR,6478.6618,5947.0,108.94,"Created November 17, 2020",2020-11-17,US,137,false
509,"Medical, Illness & Healing",3440,8000,GBP,4774.031550452721,11102.398954541211,43.0,"Created March 16, 2021",2021-03-16,US,44,false
510,"Medical, Illness & Healing",4638,7500,USD,4638.0,7500.0,61.839999999999996,"Created April 9, 2021",2021-04-09,US,41,false
511,"Medical, Illness & Healing",4105,100000,USD,4105.0,100000.0,4.105,"Created July 17, 2020",2020-07-17,US,81,false
512,"Medical, Illness & Healing",9723,40000,USD,9723.0,40000.0,24.3075,"Created November 2, 2020",2020-11-02,US,126,false
513,"Medical, Illness & Healing",1415,3000,EUR,1683.001,3568.2,47.16666666666667,"Created April 3, 2021",2021-04-03,US,23,false
514,"Medical, Illness & Healing",181,3000,EUR,215.2814,3568.2,6.033333333333333,Created 5 days ago,2021-04-16,US,10,false
515,"Medical, Illness & Healing",9284,15000,USD,9284.0,15000.0,61.89333333333333,"Created March 14, 2021",2021-03-14,US,132,false
516,"Medical, Illness & Healing",3946,,GBP,5476.258284327452,,,"Created April 21, 2020",2020-04-21,US,118,false
517,"Medical, Illness & Healing",19430,19500,USD,19430.0,19500.0,99.64102564102564,"Created January 10, 2021",2021-01-10,US,198,false
518,"Medical, Illness & Healing",3791,6500,USD,3791.0,6499.999999999999,58.32307692307693,"Created March 28, 2021",2021-03-28,US,104,false
519,"Medical, Illness & Healing",1250,6000,USD,1250.0,6000.0,20.833333333333336,"Created April 12, 2021",2021-04-12,US,38,false
520,Accidents & Emergencies,1727,18000,USD,1727.0000000000002,18000.0,9.594444444444445,"Created April 2, 2021",2021-04-02,US,46,false
521,Accidents & Emergencies,3547,10000,USD,3547.0,10000.0,35.47,"Created March 29, 2020",2020-03-29,US,86,false
522,"Medical, Illness & Healing",8263,15000,USD,8263.0,15000.0,55.08666666666666,"Created August 26, 2020",2020-08-26,US,116,false
523,"Medical, Illness & Healing",9401,18000,USD,9401.0,18000.0,52.227777777777774,"Created April 6, 2021",2021-04-06,US,158,false
524,"Medical, Illness & Healing",3141,5500,USD,3141.0000000000005,5500.0,57.109090909090924,"Created May 28, 2020",2020-05-28,US,81,false
525,"Medical, Illness & Healing",2363,13000,USD,2363.0,12999.999999999998,18.176923076923078,"Created July 21, 2020",2020-07-21,US,61,false
526,"Medical, Illness & Healing",10868,50000,EUR,12926.3992,59470.0,21.736,"Created March 19, 2021",2021-03-19,US,137,false
527,"Medical, Illness & Healing",1383,5000,EUR,1644.9402,5947.0,27.66,"Created June 2, 2020",2020-06-02,US,39,false
528,"Medical, Illness & Healing",7539,7500,USD,7538.999999999999,7500.0,100.51999999999998,"Created April 19, 2020",2020-04-19,US,103,false
529,"Medical, Illness & Healing",12230,40000,USD,12230.0,40000.0,30.575000000000003,"Created November 3, 2020",2020-11-03,US,171,false
530,"Dreams, Hopes & Wishes",1895,11000,USD,1895.0,11000.0,17.227272727272727,"Created June 10, 2020",2020-06-10,US,49,false
531,"Medical, Illness & Healing",6003,20000,USD,6003.0,20000.0,30.014999999999997,"Created August 20, 2020",2020-08-20,US,110,false
532,"Medical, Illness & Healing",9150,25000,USD,9150.0,25000.0,36.6,"Created September 25, 2020",2020-09-25,US,133,false
533,"Medical, Illness & Healing",1165,5000,USD,1165.0,5000.0,23.3,"Created April 12, 2021",2021-04-12,US,33,false
534,"Medical, Illness & Healing",6061,10000,USD,6061.0,10000.0,60.61,"Created March 23, 2021",2021-03-23,US,104,false
535,Accidents & Emergencies,2052,5000,GBP,2847.7653318398206,6938.999346588256,41.040000000000006,"Created October 21, 2020",2020-10-21,US,82,false
536,Accidents & Emergencies,6027,15000,USD,6027.0,15000.0,40.18,"Created March 13, 2021",2021-03-13,US,92,false
537,"Medical, Illness & Healing",4180,20000,USD,4180.0,20000.0,20.9,"Created August 8, 2020",2020-08-08,US,92,false
538,"Medical, Illness & Healing",1160,5000,EUR,1379.704,5947.0,23.2,"Created April 8, 2021",2021-04-08,US,39,false
539,"Medical, Illness & Healing",5729,10000,USD,5729.0,10000.0,57.29,"Created May 12, 2020",2020-05-12,US,104,false
540,"Medical, Illness & Healing",5615,6500,USD,5615.0,6499.999999999999,86.38461538461539,"Created March 30, 2021",2021-03-30,US,46,false
541,"Medical, Illness & Healing",5372,50000,USD,5372.0,50000.0,10.744,"Created August 10, 2020",2020-08-10,US,82,false
542,"Medical, Illness & Healing",5446,20000,EUR,6477.4724,23788.0,27.229999999999997,"Created July 21, 2020",2020-07-21,US,113,false
543,"Medical, Illness & Healing",6135,10000,USD,6135.0,10000.0,61.35,"Created April 24, 2020",2020-04-24,US,89,false
544,"Medical, Illness & Healing",6619,30000,USD,6619.0,30000.0,22.063333333333333,"Created March 17, 2021",2021-03-17,US,124,false
545,"Medical, Illness & Healing",3415,10000,USD,3415.0,10000.0,34.150000000000006,Created 6 days ago,2021-04-14,US,16,false
546,"Medical, Illness & Healing",6277,6000,USD,6277.0,6000.0,104.61666666666667,"Created January 30, 2021",2021-01-30,US,100,false
547,"Medical, Illness & Healing",7255,10000,USD,7254.999999999999,10000.0,72.55,"Created March 6, 2021",2021-03-06,US,115,false
548,Volunteer & Service,984,2000,USD,983.9999999999999,2000.0,49.199999999999996,"Created January 26, 2021",2021-01-26,US,41,false
549,"Medical, Illness & Healing",696,5000,USD,696.0,5000.0,13.919999999999998,"Created May 31, 2020",2020-05-31,US,37,false
550,"Medical, Illness & Healing",5075,20000,USD,5075.0,20000.0,25.374999999999996,"Created January 3, 2021",2021-01-03,US,72,false
551,"Medical, Illness & Healing",2684,5000,EUR,3192.3496,5947.0,53.68000000000001,"Created July 10, 2020",2020-07-10,US,69,false
552,Animals & Pets,6197,10000,EUR,7370.7118,11894.0,61.970000000000006,"Created October 21, 2020",2020-10-21,US,93,false
553,Accidents & Emergencies,12203,22000,USD,12203.0,22000.0,55.46818181818182,"Created March 18, 2021",2021-03-18,US,159,false
554,"Medical, Illness & Healing",1983,5000,USD,1983.0,5000.0,39.660000000000004,"Created June 18, 2020",2020-06-18,US,52,false
555,"Medical, Illness & Healing",8618,9000,USD,8618.0,9000.0,95.75555555555556,"Created May 31, 2020",2020-05-31,US,65,false
556,Accidents & Emergencies,5548,50000,USD,5548.0,50000.0,11.096,"Created January 25, 2021",2021-01-25,US,95,false
557,"Medical, Illness & Healing",4391,35000,EUR,5222.6554,41629.0,12.545714285714284,"Created November 29, 2020",2020-11-29,US,105,false
558,"Medical, Illness & Healing",2348,12000,USD,2348.0,12000.0,19.566666666666666,"Created September 22, 2020",2020-09-22,US,82,false
559,"Medical, Illness & Healing",5198,40000,USD,5198.0,40000.0,12.995000000000001,"Created September 18, 2020",2020-09-18,US,88,false
560,"Medical, Illness & Healing",1375,11000,USD,1375.0,11000.0,12.5,"Created March 27, 2021",2021-03-27,US,19,false
561,"Medical, Illness & Healing",6916,7000,USD,6916.0,7000.0,98.8,"Created March 25, 2021",2021-03-25,US,92,false
562,"Medical, Illness & Healing",9030,10000,USD,9030.0,10000.0,90.3,"Created May 4, 2020",2020-05-04,US,114,false
563,Accidents & Emergencies,725,15000,USD,725.0,15000.0,4.833333333333333,Created 5 days ago,2021-04-15,US,15,false
564,"Medical, Illness & Healing",8230,47000,EUR,9788.762,55901.8,17.51063829787234,"Created February 22, 2021",2021-02-22,US,99,false
565,Education & Learning,1639,22888,USD,1639.0,22888.0,7.160957707095421,"Created March 31, 2021",2021-03-31,US,18,false
566,"Medical, Illness & Healing",5510,,USD,5510.0,,,"Created August 10, 2020",2020-08-10,US,84,false
567,"Medical, Illness & Healing",2180,5000,USD,2180.0,5000.0,43.6,"Created February 16, 2021",2021-02-16,US,76,false
568,"Medical, Illness & Healing",1313,5000,USD,1312.9999999999998,5000.0,26.259999999999994,"Created June 28, 2020",2020-06-28,US,61,false
569,"Medical, Illness & Healing",2296,8000,GBP,3186.3884999533275,11102.398954541211,28.7,"Created September 5, 2020",2020-09-05,US,63,false
570,Other,1614,6000,USD,1614.0,6000.0,26.900000000000002,"Created May 3, 2020",2020-05-03,US,38,false
571,"Medical, Illness & Healing",9865,20000,USD,9865.0,20000.0,49.325,"Created August 31, 2020",2020-08-31,US,84,false
572,Accidents & Emergencies,7759,40000,USD,7759.0,40000.0,19.3975,"Created September 9, 2020",2020-09-09,US,91,false
573,"Medical, Illness & Healing",2875,,USD,2875.0,,,"Created November 10, 2020",2020-11-10,US,51,false
574,"Medical, Illness & Healing",1080,15000,EUR,1284.552,17841.0,7.199999999999999,"Created March 26, 2021",2021-03-26,US,26,false
575,"Medical, Illness & Healing",13222,25000,USD,13221.999999999998,25000.0,52.88799999999999,"Created March 23, 2021",2021-03-23,US,152,false
576,"Medical, Illness & Healing",5208,30000,EUR,6194.3952,35682.0,17.36,"Created March 14, 2020",2020-03-14,US,79,false
577,"Medical, Illness & Healing",2048,15000,USD,2047.9999999999998,15000.0,13.65333333333333,"Created May 23, 2020",2020-05-23,US,60,false
578,Funerals & Memorials,4000,5000,USD,4000.0,5000.0,80.0,"Created March 31, 2021",2021-03-31,US,61,false
579,"Medical, Illness & Healing",4632,12000,USD,4632.0,12000.0,38.6,"Created August 21, 2020",2020-08-21,US,83,false
580,"Medical, Illness & Healing",10380,25000,USD,10380.0,25000.0,41.52,"Created August 30, 2020",2020-08-30,US,108,false
581,"Medical, Illness & Healing",7872,72000,USD,7871.999999999999,72000.0,10.933333333333332,"Created August 29, 2020",2020-08-29,US,106,false
582,"Medical, Illness & Healing",3497,20000,USD,3497.0,20000.0,17.485,"Created September 25, 2020",2020-09-25,US,74,false
583,Accidents & Emergencies,4520,15000,USD,4520.0,15000.0,30.133333333333333,"Created September 12, 2020",2020-09-12,US,80,false
584,"Medical, Illness & Healing",1942,10000,EUR,2309.8148,11894.0,19.42,"Created November 13, 2020",2020-11-13,US,31,false
585,"Medical, Illness & Healing",3127,5000,USD,3127.0,5000.0,62.53999999999999,"Created July 31, 2020",2020-07-31,US,95,false
586,"Medical, Illness & Healing",6645,16500,USD,6645.0,16500.0,40.27272727272727,"Created January 5, 2021",2021-01-05,US,68,false
587,"Medical, Illness & Healing",2708,5000,USD,2708.0000000000005,5000.0,54.16000000000001,"Created March 13, 2021",2021-03-13,US,54,false
588,"Babies, Kids & Family",2766,10000,EUR,3289.8804,11894.0,27.66,"Created April 27, 2020",2020-04-27,US,52,false
589,"Medical, Illness & Healing",7755,19000,USD,7755.0,19000.0,40.81578947368421,"Created March 6, 2021",2021-03-06,US,117,false
590,Volunteer & Service,2725,4000,USD,2725.0,4000.0,68.125,"Created May 27, 2020",2020-05-27,US,45,false
591,"Medical, Illness & Healing",1465,5000,EUR,1742.471,5947.0,29.299999999999997,"Created January 14, 2021",2021-01-14,US,58,false
592,Accidents & Emergencies,6595,15000,USD,6595.0,15000.0,43.96666666666667,"Created March 23, 2021",2021-03-23,US,117,false
593,"Medical, Illness & Healing",4567,25000,USD,4567.0,25000.0,18.268,"Created March 29, 2021",2021-03-29,US,99,false
594,Accidents & Emergencies,14784,20000,USD,14784.000000000002,20000.0,73.92,"Created March 15, 2021",2021-03-15,US,148,false
595,"Medical, Illness & Healing",3760,15000,EUR,4472.144,17841.0,25.06666666666667,"Created September 9, 2020",2020-09-09,US,69,false
596,Accidents & Emergencies,4579,10000,USD,4579.0,10000.0,45.79,"Created March 18, 2021",2021-03-18,US,68,false
597,"Medical, Illness & Healing",3741,10000,USD,3741.0,10000.0,37.41,"Created March 23, 2021",2021-03-23,US,70,false
598,Accidents & Emergencies,7360,50000,USD,7360.0,50000.0,14.719999999999999,"Created March 18, 2021",2021-03-18,US,105,false
599,"Medical, Illness & Healing",5125,15000,USD,5125.0,15000.0,34.166666666666664,"Created December 26, 2020",2020-12-26,US,83,false
600,"Medical, Illness & Healing",1025,6500,USD,1025.0,6499.999999999999,15.769230769230772,Created 7 days ago,2021-04-13,US,13,false
601,"Medical, Illness & Healing",1641,16000,GBP,2277.379585550266,22204.797909082423,10.256249999999998,"Created August 11, 2020",2020-08-11,US,48,false
602,"Medical, Illness & Healing",5788,20000,USD,5788.0,20000.0,28.939999999999998,"Created March 3, 2021",2021-03-03,US,96,false
603,Education & Learning,2181,3700,USD,2181.0,3700.0,58.945945945945944,"Created July 14, 2020",2020-07-14,US,78,false
604,"Medical, Illness & Healing",7782,11500,USD,7782.0,11500.0,67.66956521739131,"Created April 9, 2021",2021-04-09,US,99,false
605,"Medical, Illness & Healing",4801,20000,USD,4801.0,20000.0,24.005000000000003,"Created July 27, 2020",2020-07-27,US,71,false
606,"Medical, Illness & Healing",3119,12000,USD,3119.0,12000.0,25.991666666666667,"Created July 26, 2020",2020-07-26,US,80,false
607,Accidents & Emergencies,13965,20000,USD,13965.0,20000.0,69.825,"Created October 30, 2020",2020-10-30,US,82,false
608,"Medical, Illness & Healing",677,15000,EUR,805.2238,17841.0,4.513333333333333,"Created June 2, 2020",2020-06-02,US,28,false
609,Accidents & Emergencies,5080,50000,EUR,6042.152,59470.0,10.16,"Created March 28, 2021",2021-03-28,US,114,false
610,"Medical, Illness & Healing",1045,1600,USD,1045.0,1600.0,65.3125,"Created March 29, 2021",2021-03-29,US,16,false
611,Volunteer & Service,1504,1000,EUR,1788.8576,1189.4,150.4,"Created April 12, 2020",2020-04-12,US,65,false
612,"Babies, Kids & Family",1921,25000,USD,1921.0,25000.0,7.684,"Created April 24, 2020",2020-04-24,US,45,false
613,"Medical, Illness & Healing",1913,30000,USD,1913.0,30000.0,6.376666666666667,"Created March 30, 2021",2021-03-30,US,30,false
614,"Medical, Illness & Healing",1619,5000,USD,1619.0,5000.0,32.379999999999995,"Created July 9, 2020",2020-07-09,US,58,false
615,Accidents & Emergencies,1185,15000,USD,1185.0,15000.0,7.9,"Created April 7, 2021",2021-04-07,US,23,false
616,"Medical, Illness & Healing",1566,3000,USD,1566.0000000000002,3000.0,52.20000000000001,"Created September 5, 2020",2020-09-05,US,49,false
617,"Medical, Illness & Healing",8754,20000,USD,8754.0,20000.0,43.769999999999996,"Created August 7, 2020",2020-08-07,US,105,false
618,"Medical, Illness & Healing",4749,25000,USD,4749.0,25000.0,18.996,"Created February 28, 2021",2021-02-28,US,76,false
619,"Medical, Illness & Healing",1445,150000,EUR,1718.683,178410.0,0.9633333333333334,"Created April 9, 2021",2021-04-09,US,35,false
620,"Medical, Illness & Healing",5950,8000,USD,5950.0,8000.0,74.375,"Created September 1, 2020",2020-09-01,US,81,false
621,"Medical, Illness & Healing",5691,30000,USD,5691.0,30000.0,18.970000000000002,"Created September 14, 2020",2020-09-14,US,91,false
622,Accidents & Emergencies,1244,10000,USD,1244.0000000000002,10000.0,12.440000000000003,"Created April 15, 2020",2020-04-15,US,24,false
623,"Medical, Illness & Healing",5402,70000,EUR,6425.1388,83258.0,7.717142857142857,"Created March 23, 2021",2021-03-23,US,82,false
624,"Missions, Faith & Church",5771,20000,USD,5771.000000000001,20000.0,28.855000000000004,"Created September 1, 2020",2020-09-01,US,64,false
625,"Medical, Illness & Healing",927,2000,USD,927.0,2000.0,46.35,"Created May 17, 2020",2020-05-17,US,28,false
626,"Medical, Illness & Healing",3362,30000,USD,3362.0,30000.0,11.206666666666667,"Created August 29, 2020",2020-08-29,US,54,false
627,"Medical, Illness & Healing",1921,30000,USD,1921.0,30000.0,6.403333333333333,"Created July 27, 2020",2020-07-27,US,60,false
628,"Medical, Illness & Healing",4130,12000,EUR,4912.222,14272.8,34.416666666666664,"Created May 12, 2020",2020-05-12,US,61,false
629,"Medical, Illness & Healing",2732,10000,USD,2732.0,10000.0,27.32,"Created April 8, 2021",2021-04-08,US,74,false
630,"Medical, Illness & Healing",666,6500,USD,666.0,6499.999999999999,10.246153846153847,"Created March 18, 2021",2021-03-18,US,19,false
631,Funerals & Memorials,5947,15000,USD,5947.0,15000.0,39.64666666666667,"Created March 12, 2021",2021-03-12,US,104,false
632,Business & Entrepreneurs,915,10000,EUR,1088.301,11894.0,9.15,"Created March 19, 2021",2021-03-19,US,18,false
633,"Medical, Illness & Healing",8381,20000,USD,8381.0,20000.0,41.905,"Created March 31, 2021",2021-03-31,US,71,false
634,Accidents & Emergencies,2380,10000,USD,2380.0,10000.0,23.799999999999997,"Created September 3, 2020",2020-09-03,US,37,false
635,"Medical, Illness & Healing",7412,15000,USD,7412.0,15000.0,49.413333333333334,"Created March 27, 2021",2021-03-27,US,119,false
636,"Medical, Illness & Healing",1730,5500,USD,1730.0,5500.0,31.454545454545457,"Created September 3, 2020",2020-09-03,US,49,false
637,"Medical, Illness & Healing",2600,30000,USD,2600.0,30000.0,8.666666666666668,"Created November 10, 2020",2020-11-10,US,56,false
638,"Medical, Illness & Healing",2855,20000,USD,2855.0,20000.0,14.274999999999999,"Created April 10, 2021",2021-04-10,US,29,false
639,"Medical, Illness & Healing",5190,5000,USD,5190.0,5000.0,103.8,"Created December 13, 2020",2020-12-13,US,82,false
640,"Medical, Illness & Healing",3380,10000,USD,3380.0,10000.0,33.800000000000004,"Created September 7, 2020",2020-09-07,US,66,false
641,Funerals & Memorials,2366,10000,USD,2366.0,10000.0,23.66,"Created August 15, 2020",2020-08-15,US,60,false
642,"Medical, Illness & Healing",8820,10000,USD,8820.0,10000.0,88.2,"Created April 5, 2021",2021-04-05,US,149,false
643,"Medical, Illness & Healing",1780,15000,USD,1780.0,15000.0,11.866666666666667,"Created May 16, 2020",2020-05-16,US,34,false
644,"Medical, Illness & Healing",3304,75000,USD,3304.0,75000.0,4.405333333333333,"Created October 28, 2020",2020-10-28,US,41,false
645,Celebrations & Events,2125,15000,EUR,2527.475,17841.0,14.166666666666666,"Created July 13, 2020",2020-07-13,US,33,false
646,"Medical, Illness & Healing",8229,20000,USD,8229.0,20000.0,41.144999999999996,"Created April 6, 2021",2021-04-06,US,126,false
647,Business & Entrepreneurs,7567,20000,USD,7567.0,20000.0,37.835,"Created October 10, 2020",2020-10-10,US,79,false
648,"Medical, Illness & Healing",3687,25000,USD,3687.0,25000.0,14.748,"Created February 26, 2021",2021-02-26,US,67,false
649,"Medical, Illness & Healing",1470,25000,USD,1470.0,25000.0,5.88,"Created January 4, 2021",2021-01-04,US,27,false
650,"Medical, Illness & Healing",1379,4000,USD,1379.0,4000.0,34.475,"Created September 18, 2020",2020-09-18,US,37,false
651,Accidents & Emergencies,2275,5000,USD,2275.0,5000.0,45.5,"Created April 18, 2020",2020-04-18,US,66,false
652,"Medical, Illness & Healing",2633,20000,USD,2633.0,20000.0,13.165,"Created August 2, 2020",2020-08-02,US,46,false
653,"Medical, Illness & Healing",4190,18000,USD,4190.0,18000.0,23.27777777777778,"Created August 31, 2020",2020-08-31,US,60,false
654,"Medical, Illness & Healing",4795,32000,USD,4795.0,32000.0,14.984375,"Created February 10, 2021",2021-02-10,US,44,false
655,"Medical, Illness & Healing",1053,4000,USD,1053.0,4000.0,26.325,"Created September 9, 2020",2020-09-09,US,28,false
656,"Medical, Illness & Healing",3523,6000,USD,3522.9999999999995,6000.0,58.71666666666666,"Created January 9, 2021",2021-01-09,US,117,false
657,Accidents & Emergencies,980,4000,USD,980.0,4000.0,24.5,"Created March 15, 2021",2021-03-15,US,31,false
658,Accidents & Emergencies,8246,20000,EUR,9807.7924,23788.0,41.23,"Created December 9, 2020",2020-12-09,US,69,false
