launch_date,All,"Medical, Illness & Healing",Accidents & Emergencies,"Medical, Illness & Healing + Accidents & Emergencies"
2020-01-19,0.14285714285714285,0.0,0.0,0.0
2020-01-20,0.0,0.0,0.0,0.0
2020-01-21,0.0,0.0,0.0,0.0
2020-01-22,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0
2020-01-25,0.0,0.0,0.0,0.0
2020-01-26,0.0,0.0,0.0,0.0
2020-01-27,0.0,0.0,0.0,0.0
2020-01-28,0.0,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0,0.0
2020-01-30,0.0,0.0,0.0,0.0
2020-01-31,0.0,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0,0.0
2020-02-02,0.0,0.0,0.0,0.0
2020-02-03,0.0,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0,0.0
2020-02-06,0.0,0.0,0.0,0.0
2020-02-07,0.0,0.0,0.0,0.0
2020-02-08,0.0,0.0,0.0,0.0
2020-02-09,0.0,0.0,0.0,0.0
2020-02-10,0.0,0.0,0.0,0.0
2020-02-11,0.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,0.0
2020-02-13,0.14285714285714285,0.0,0.0,0.0
2020-02-14,0.2857142857142857,0.0,0.0,0.0
2020-02-15,0.2857142857142857,0.0,0.0,0.0
2020-02-16,0.2857142857142857,0.0,0.0,0.0
2020-02-17,0.2857142857142857,0.0,0.0,0.0
2020-02-18,0.2857142857142857,0.0,0.0,0.0
2020-02-19,0.42857142857142855,0.14285714285714285,0.0,0.14285714285714285
2020-02-20,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285
2020-02-21,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.2857142857142857
2020-02-22,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.2857142857142857
2020-02-23,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.42857142857142855
2020-02-24,0.5714285714285714,0.42857142857142855,0.14285714285714285,0.5714285714285714
2020-02-25,0.5714285714285714,0.42857142857142855,0.14285714285714285,0.5714285714285714
2020-02-26,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.42857142857142855
2020-02-27,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.42857142857142855
2020-02-28,0.2857142857142857,0.2857142857142857,0.0,0.2857142857142857
2020-02-29,0.2857142857142857,0.2857142857142857,0.0,0.2857142857142857
2020-03-01,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285
2020-03-02,0.0,0.0,0.0,0.0
2020-03-03,0.0,0.0,0.0,0.0
2020-03-04,0.0,0.0,0.0,0.0
2020-03-05,0.0,0.0,0.0,0.0
2020-03-06,0.0,0.0,0.0,0.0
2020-03-07,0.0,0.0,0.0,0.0
2020-03-08,0.0,0.0,0.0,0.0
2020-03-09,0.0,0.0,0.0,0.0
2020-03-10,0.0,0.0,0.0,0.0
2020-03-11,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285
2020-03-12,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285
2020-03-13,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285
2020-03-14,0.42857142857142855,0.2857142857142857,0.0,0.2857142857142857
2020-03-15,0.7142857142857143,0.42857142857142855,0.14285714285714285,0.5714285714285714
2020-03-16,0.8571428571428571,0.42857142857142855,0.14285714285714285,0.5714285714285714
2020-03-17,0.8571428571428571,0.42857142857142855,0.14285714285714285,0.5714285714285714
2020-03-18,0.8571428571428571,0.42857142857142855,0.14285714285714285,0.5714285714285714
2020-03-19,1.2857142857142858,0.5714285714285714,0.42857142857142855,1.0
2020-03-20,1.2857142857142858,0.7142857142857143,0.42857142857142855,1.1428571428571428
2020-03-21,1.2857142857142858,0.5714285714285714,0.5714285714285714,1.1428571428571428
2020-03-22,1.2857142857142858,0.5714285714285714,0.5714285714285714,1.1428571428571428
2020-03-23,1.1428571428571428,0.5714285714285714,0.5714285714285714,1.1428571428571428
2020-03-24,1.4285714285714286,0.5714285714285714,0.7142857142857143,1.2857142857142856
2020-03-25,1.5714285714285714,0.5714285714285714,0.7142857142857143,1.2857142857142856
2020-03-26,1.2857142857142858,0.42857142857142855,0.5714285714285714,1.0
2020-03-27,1.5714285714285714,0.2857142857142857,1.0,1.2857142857142856
2020-03-28,1.5714285714285714,0.2857142857142857,0.8571428571428571,1.1428571428571428
2020-03-29,1.2857142857142858,0.14285714285714285,0.7142857142857143,0.8571428571428572
2020-03-30,1.4285714285714286,0.2857142857142857,0.7142857142857143,1.0
2020-03-31,1.1428571428571428,0.2857142857142857,0.5714285714285714,0.8571428571428571
2020-04-01,0.8571428571428571,0.14285714285714285,0.5714285714285714,0.7142857142857142
2020-04-02,0.8571428571428571,0.14285714285714285,0.5714285714285714,0.7142857142857142
2020-04-03,0.5714285714285714,0.14285714285714285,0.14285714285714285,0.2857142857142857
2020-04-04,1.1428571428571428,0.14285714285714285,0.42857142857142855,0.5714285714285714
2020-04-05,1.2857142857142858,0.14285714285714285,0.5714285714285714,0.7142857142857142
2020-04-06,1.5714285714285714,0.14285714285714285,0.5714285714285714,0.7142857142857142
2020-04-07,1.5714285714285714,0.14285714285714285,0.5714285714285714,0.7142857142857142
2020-04-08,1.5714285714285714,0.14285714285714285,0.5714285714285714,0.7142857142857142
2020-04-09,1.7142857142857142,0.14285714285714285,0.5714285714285714,0.7142857142857142
2020-04-10,1.8571428571428572,0.14285714285714285,0.5714285714285714,0.7142857142857142
