launch_date,All,"Medical, Illness & Healing",Accidents & Emergencies,"Medical, Illness & Healing + Accidents & Emergencies"
2020-01-19,1428.5714285714287,0.0,0.0,0.0
2020-01-20,0.0,0.0,0.0,0.0
2020-01-21,0.0,0.0,0.0,0.0
2020-01-22,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0
2020-01-25,0.0,0.0,0.0,0.0
2020-01-26,0.0,0.0,0.0,0.0
2020-01-27,0.0,0.0,0.0,0.0
2020-01-28,0.0,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0,0.0
2020-01-30,0.0,0.0,0.0,0.0
2020-01-31,0.0,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0,0.0
2020-02-02,0.0,0.0,0.0,0.0
2020-02-03,0.0,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0,0.0
2020-02-06,0.0,0.0,0.0,0.0
2020-02-07,0.0,0.0,0.0,0.0
2020-02-08,0.0,0.0,0.0,0.0
2020-02-09,0.0,0.0,0.0,0.0
2020-02-10,0.0,0.0,0.0,0.0
2020-02-11,0.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,0.0
2020-02-13,10714.285714285714,0.0,0.0,0.0
2020-02-14,11428.57142857143,0.0,0.0,0.0
2020-02-15,11428.57142857143,0.0,0.0,0.0
2020-02-16,11428.57142857143,0.0,0.0,0.0
2020-02-17,11428.57142857143,0.0,0.0,0.0
2020-02-18,11428.57142857143,0.0,0.0,0.0
2020-02-19,11428.57142857143,0.0,0.0,0.0
2020-02-20,714.2857142857143,0.0,0.0,0.0
2020-02-21,357.14285714285717,0.0,357.14285714285717,357.14285714285717
2020-02-22,357.14285714285717,0.0,357.14285714285717,357.14285714285717
2020-02-23,8287.427824672293,7930.284967529436,357.14285714285717,8287.427824672293
2020-02-24,10553.427824672293,10196.284967529436,357.14285714285717,10553.427824672293
2020-02-25,10553.427824672293,10196.284967529436,357.14285714285717,10553.427824672293
2020-02-26,10553.427824672293,10196.284967529436,357.14285714285717,10553.427824672293
2020-02-27,10553.427824672293,10196.284967529436,357.14285714285717,10553.427824672293
2020-02-28,10196.284967529436,10196.284967529436,0.0,10196.284967529436
2020-02-29,10196.284967529436,10196.284967529436,0.0,10196.284967529436
2020-03-01,2266.0,2266.0,0.0,2266.0
2020-03-02,0.0,0.0,0.0,0.0
2020-03-03,0.0,0.0,0.0,0.0
2020-03-04,0.0,0.0,0.0,0.0
2020-03-05,0.0,0.0,0.0,0.0
2020-03-06,0.0,0.0,0.0,0.0
2020-03-07,0.0,0.0,0.0,0.0
2020-03-08,0.0,0.0,0.0,0.0
2020-03-09,0.0,0.0,0.0,0.0
2020-03-10,0.0,0.0,0.0,0.0
2020-03-11,5097.428571428572,5097.428571428572,0.0,5097.428571428572
2020-03-12,5097.428571428572,5097.428571428572,0.0,5097.428571428572
2020-03-13,6796.571428571428,5097.428571428572,0.0,5097.428571428572
2020-03-14,8976.857142857143,7277.714285714285,0.0,7277.714285714285
2020-03-15,9435.625714285716,7617.542857142857,118.94000000000001,7736.482857142857
2020-03-16,9435.625714285716,7617.542857142857,118.94000000000001,7736.482857142857
2020-03-17,9435.625714285716,7617.542857142857,118.94000000000001,7736.482857142857
2020-03-18,4548.720942857143,2730.638085714286,118.94000000000001,2849.578085714286
2020-03-19,7405.8638,4159.209514285714,1547.5114285714285,5706.720942857142
2020-03-20,7135.292371428572,5587.780942857143,1547.5114285714285,7135.292371428572
2020-03-21,5383.578085714286,3407.4952285714285,1976.0828571428572,5383.578085714285
2020-03-22,7542.780942857143,4496.238085714286,3046.542857142857,7542.780942857144
2020-03-23,7542.780942857143,4496.238085714286,3046.542857142857,7542.780942857144
2020-03-24,8392.352371428571,4496.238085714286,3386.371428571428,7882.609514285714
2020-03-25,8946.442857142856,5050.328571428572,3386.371428571428,8436.7
2020-03-26,7517.871428571429,3621.7571428571428,3386.371428571428,7008.128571428571
2020-03-27,7019.099999999999,2193.1857142857143,4316.171428571428,6509.357142857142
2020-03-28,7440.099999999999,2193.1857142857143,3887.5999999999995,6080.785714285714
2020-03-29,4822.1285714285705,764.6142857142858,2698.2,3462.8142857142857
2020-03-30,7107.842857142857,3050.328571428571,2698.2,5748.528571428571
2020-03-31,6258.271428571427,3050.328571428571,2358.371428571428,5408.699999999999
2020-04-01,5493.657142857142,2285.714285714286,2358.371428571428,4644.085714285714
2020-04-02,4779.371428571429,2285.714285714286,1644.0857142857142,3929.8
2020-04-03,3849.5714285714284,2285.714285714286,714.2857142857143,3000.0
2020-04-04,4214.285714285715,2285.714285714286,1214.2857142857142,3500.0
2020-04-05,4450.0,2285.714285714286,1450.0,3735.714285714286
2020-04-06,2278.5714285714284,0.0,1450.0,1450.0
2020-04-07,2278.5714285714284,0.0,1450.0,1450.0
2020-04-08,2278.5714285714284,0.0,1450.0,1450.0
2020-04-09,2591.342857142857,0.0,1592.857142857143,1592.857142857143
2020-04-10,3448.4857142857145,0.0,1592.857142857143,1592.857142857143
2020-04-11,4995.307142857143,2761.1071428571427,1092.857142857143,3853.9642857142853
2020-04-12,6631.021428571429,3761.1071428571427,1728.5714285714287,5489.678571428572
2020-04-13,8725.621428571429,5969.992857142856,1728.5714285714287,7698.564285714285
2020-04-14,12465.35,7924.007142857144,2228.5714285714284,10152.578571428572
2020-04-15,19221.463800322705,13965.835228894135,2942.8571428571427,16908.692371751276
