launch_date,All,"Medical, Illness & Healing",Accidents & Emergencies,"Medical, Illness & Healing + Accidents & Emergencies"
2020-05-15,25982.86205714286,17232.714285714286,5535.862057142857,22768.576342857144
2020-05-16,29729.60491428571,14336.6,12178.719199999998,26515.319199999998
2020-05-17,24729.60491428571,10765.171428571428,12178.719199999998,22943.890628571426
2020-05-18,23801.03348571428,10479.457142857142,12178.719199999998,22658.17634285714
2020-05-19,21372.46205714285,10479.457142857142,10464.433485714284,20943.890628571426
2020-05-20,24534.162057142854,13641.157142857142,10464.433485714284,24105.590628571426
2020-05-21,18896.70491428571,11146.557142857142,7750.14777142857,18896.704914285714
2020-05-22,18217.98571428571,11432.271428571428,6785.7142857142835,18217.98571428571
2020-05-23,19983.245714285713,19432.27142857143,0.0,19432.27142857143
2020-05-24,21203.745714285713,18717.985714285714,81.42857142857143,18799.414285714287
2020-05-25,23807.542857142857,19503.7,81.42857142857143,19585.128571428573
2020-05-26,24524.68571428571,20217.985714285714,81.42857142857143,20299.414285714287
2020-05-27,14663.842857142856,10357.142857142857,81.42857142857143,10438.571428571428
2020-05-28,17263.842857142856,12357.142857142857,510.0,12867.142857142857
2020-05-29,17478.12857142857,12071.42857142857,510.0,12581.42857142857
2020-05-30,12896.868571428571,8041.142857142857,510.0,8551.142857142857
2020-05-31,11556.782857142856,8635.842857142858,428.57142857142856,9064.414285714287
2020-06-01,8952.985714285714,7850.128571428571,428.57142857142856,8278.7
2020-06-02,9378.699999999999,8278.7,428.57142857142856,8707.27142857143
2020-06-03,11776.271428571428,9707.271428571428,1142.857142857143,10850.128571428571
2020-06-04,33865.556956168075,31546.985527596644,714.2857142857143,32261.271241882358
2020-06-05,35567.5283847395,33748.95695616807,714.2857142857143,34463.24267045379
2020-06-06,31707.099813310928,29636.38552759664,966.4285714285714,30602.814099025214
2020-06-07,34454.39981331093,30812.256956168072,966.4285714285714,31778.685527596645
2020-06-08,37021.41409902521,32924.27124188236,966.4285714285714,33890.69981331093
